Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 2,65,34
ICC - Absentee By Mail - 9,4,3
ICC - Absentee By Mail - 5,68,32
ICC - Absentee By Mail - 4,71,29
ICC - Absentee By Mail - 3,59,41
ICC - Absentee By Mail - 7,11,13
ICC - Absentee By Mail - 6,31,19
ICC - Absentee By Mail - 8,43,13
ICC - Absentee By Mail - 1,69,31
AV-Elections Office ICP 1 - 0,5701,1551
ED-Lily Pond ICP 1 - 0,446,58
ED-Sugar Valley ICP 1 - 0,448,46
ED-Oostanaula ICP 1 - 0,197,47
ED-Red Bud ICP 1 - 0,759,127
ED-Plainville ICP 1 - 0,539,66
ED-Resaca ICP 1 - 0,422,57
ED-Gordon County ICP 1 - 0,1054,188
ED-Fairmount ICP 1 - 0,711,58
ED-Pine Chapel ICP 1 - 0,337,30
ED-Oakman ICP 1 - 0,434,46
ED-Sonoraville ICP 1 - 0,1396,158
ED-Calhoun City ICP 1 - 0,1179,383
ICC - Absentee By Mail - 10,0,2
ICC - Provisional - 1,11,0
