Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-CT Martin Rec Center ICP 2 - 0,85,5108
AV-Alpharetta Library ICP 1 - 0,544,827
AV-Fulton County Gov Ctr ICP 2 - 0,119,3344
AV-Buckhead Library ICP 1 - 0,246,1352
AV-Dorothy Benson Senior Ctr ICP 2 - 0,1225,2604
AV-East Point Library ICP 1 - 0,129,3382
AV-NE Spruill Oaks Library ICP 2 - 0,2063,3101
AV-Northside Library ICP 2 - 0,1940,4444
AV-East Roswell Library ICP 2 - 0,1326,3114
AV-Chastain Park Rec Center ICP 2 - 0,1491,2553
AV-Dorothy Benson Senior Ctr ICP 1 - 0,1167,2660
AV-Ponce De Leon Library ICP 2 - 0,217,4777
AV-NE Spruill Oaks Library ICP 1 - 0,821,982
AV-GS Dennard Library ICP 2 - 0,72,3528
AV-Ponce De Leon Library ICP 3 - 0,103,1727
AV-Wolf Creek Library ICP 2 - 0,49,3749
AV-Alpharetta Library ICP 2 - 0,1333,2957
AV-SW Arts Cener ICP 1 - 0,47,2443
AV-Robert F. Fulton Ocee Library ICP 1 - 0,1074,2395
AV-CT Martin Rec Center ICP 1 - 0,42,4179
AV-North Fulton Svc Center ICP 1 - 0,1063,3288
AV-Robert F. Fulton Ocee Library ICP 2 - 0,1958,4454
AV-Chastain Park Rec Center ICP 1 - 0,1299,2272
AV-Northside Library ICP 1 - 0,661,1506
AV-North Fulton Svc Center ICP 2 - 0,1000,3012
AV-Palmetto Library ICP 2 - 0,472,1745
AV-Palmetto Library ICP 1 - 0,566,2307
AV-NW Branch Library Scotts Crossing ICP 1 - 0,121,2158
AV-NW Branch Library Scotts Crossing ICP 2 - 0,242,3813
AV-Metropolitan Library ICP 2 - 0,104,5467
AV-Metropolitan Library ICP 1 - 0,49,3110
AV-Morehouse College Archer Hall ICP 1 - 0,12,904
AV-Georgia Tech Ferst Ctr ICP 1 - 0,124,2015
AV-Roswell Library ICP 1 - 0,440,501
AV-Roswell Library ICP 2 - 0,2722,4433
AV-CT Martin Rec Center ICP 3 - 0,49,2961
AV-Welcome All Rec Ctr ICP 1 - 0,9,369
AV-Ponce De Leon Library ICP 1 - 0,137,3116
AV-Milton Library ICP 1 - 0,1592,1824
AV-So Fulton Srvc Center ICP 1 - 0,13,228
AV-So Fulton Srvc Center ICP 2 - 0,156,5693
AV-Milton Library ICP 2 - 0,1781,2129
AV-Etris-Darnell Community Recreation ICP 2 - 0,119,2341
AV-Etris-Darnell Community Recreation ICP 1 - 0,88,2025
AV-East Roswell Library ICP 3 - 0,369,601
AV-Fulton County Gov Ctr ICP 1 - 0,71,1593
AV-East Roswell Library ICP 1 - 0,631,1323
AV-East Point Library ICP 2 - 0,88,2483
AV-Buckhead Library ICP 2 - 0,1129,5734
AV-SW Arts Cener ICP 2 - 0,55,4361
AV-East Point Library ICP 3 - 0,80,1734
AV-Welcome All Rec Ctr ICP 2 - 0,107,4605
AV-GS Dennard Library ICP 1 - 0,95,3510
AV-Wolf Creek Library ICP 3 - 0,45,2454
AV-Georgia State University ICP 1 - 0,10,789
AV-Alpharetta Library ICP 3 - 0,1578,2282
AV-Wolf Creek Library ICP 1 - 0,51,2840
ED-09G ICP 1 - 0,175,787
