Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,32,18
Absentee By Mail ICC - 2,35,15
Absentee By Mail ICC - 3,32,18
Absentee By Mail ICC - 4,33,17
Absentee By Mail ICC - 5,13,37
Absentee By Mail ICC - 6,33,17
Absentee By Mail ICC - 7,28,21
Absentee By Mail ICC - 8,3,47
Absentee By Mail ICC - 9,10,40
Absentee By Mail ICC - 10,36,13
Absentee By Mail ICC - 11,3,47
Absentee By Mail ICC - 12,34,16
Absentee By Mail ICC - 13,1,8
Absentee By Mail ICC - 14,7,4
AV-Elections Office ICP 1 - 0,2478,1670
ED-408 - Millwood Baptist Church ICP 1 - 0,245,7
ED-100-200B - City Auditorium ICP 1 - 0,223,418
ED-404 - Bickley UM Church ICP 1 - 0,174,15
ED-200A - Memorial Stadium ICP 1 - 0,444,160
ED-400 - Second Baptist Church ICP 1 - 0,776,64
ED-300 - Ware BoE Transportation ICP 1 - 0,688,120
ED-407 - Manor Commmunity Center ICP 1 - 0,265,8
ED-405 - Haywood Baptist Church ICP 1 - 0,255,7
ED-304 - Ware BoE Learning Center ICP 1 - 0,247,22
ED-409 - Waresboro Church of God ICP 1 - 0,362,20
ED-406 - Jamestown Baptist Church ICP 1 - 0,546,32
Provisional ICC - 1,2,0
