Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,23,26
ICC - Absentee By Mail - 2,10,39
ICC - Absentee By Mail - 3,24,26
ICC - Absentee By Mail - 4,16,34
ICC - Absentee By Mail - 5,32,18
ICC - Absentee By Mail - 6,20,29
ICC - Absentee By Mail - 7,14,36
ICC - Absentee By Mail - 8,25,25
ICC - Absentee By Mail - 9,30,20
ICC - Absentee By Mail - 10,22,28
ICC - Absentee By Mail - 11,21,25
ICC - Absentee By Mail - 12,0,2
AV-Elections Office ICP 2 - 0,1636,799
AV-Elections Office ICP 1 - 0,1600,821
ED-Salem ICP 1 - 0,18,136
ICC - Absentee By Mail - 13,2,1
ED-Town ICP 1 - 0,400,210
ED-Town ICP 2 - 0,344,250
ED-Yatesville ICP 2 - 0,458,94
ED-Redbone ICP 2 - 0,668,116
ED-Redbone ICP 1 - 0,678,137
ICC - Provisional - 1,2,0
