Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,1633,851
Absentee By Mail ICC - 1,23,27
Absentee By Mail ICC - 2,22,28
Absentee By Mail ICC - 3,22,28
Absentee By Mail ICC - 4,20,30
Absentee By Mail ICC - 5,18,30
ED-Sylvester ICP 1 - 0,244,348
ED-Red Rock ICP 1 - 0,331,64
ED-Poulan ICP 1 - 0,290,38
ED-Doles ICP 1 - 0,141,9
ED-Minton ICP 1 - 0,359,22
ED-Scooterville ICP 1 - 0,268,9
ED-Sumner ICP 1 - 0,295,46
ED-Isabella ICP 1 - 0,287,22
ED-Sylvester East ICP 1 - 0,404,57
ED-County Line ICP 1 - 0,204,30
ED-Bridgeboro ICP 1 - 0,250,41
ED-Warwick ICP 1 - 0,285,79
Provisional ICC - 1,1,0
