Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail 1 - 1,9,41
ICC-Absentee by Mail 2 - 1,2,48
ICC-Absentee by Mail 3 - 1,10,40
ICC-Absentee by Mail 1 - 2,5,45
ICC-Absentee by Mail 2 - 2,7,43
ICC-Absentee by Mail 3 - 2,24,26
ICC-Absentee by Mail 4 - 1,8,42
ICC-Absentee by Mail 4 - 2,14,36
ICC-Absentee by Mail 1 - 3,23,27
ICC-Absentee by Mail 2 - 3,2,48
ICC-Absentee by Mail 1 - 4,14,12
ICC-Absentee by Mail 4 - 3,22,28
ICC-Absentee by Mail 3 - 3,12,38
ICC-Absentee by Mail 3 - 4,4,46
ICC-Absentee by Mail 2 - 4,21,29
ICC-Absentee by Mail 4 - 4,1,49
ICC-Absentee by Mail 1 - 5,2,48
ICC-Absentee by Mail 2 - 5,5,45
ICC-Absentee by Mail 4 - 5,12,38
ICC-Absentee by Mail 3 - 5,25,25
ICC-Absentee by Mail 1 - 6,9,41
ICC-Absentee by Mail 2 - 6,3,47
ICC-Absentee by Mail 4 - 6,19,31
ICC-Absentee by Mail 3 - 6,3,47
ICC-Absentee by Mail 3 - 7,15,34
ICC-Absentee by Mail 2 - 7,14,36
ICC-Absentee by Mail 1 - 7,4,46
ICC-Absentee by Mail 4 - 7,3,47
ICC-Absentee by Mail 1 - 8,3,47
ICC-Absentee by Mail 2 - 8,18,32
ICC-Absentee by Mail 4 - 8,24,26
ICC-Absentee by Mail 2 - 9,16,34
ICC-Absentee by Mail 1 - 9,20,33
ICC-Absentee by Mail 2 - 10,21,29
ICC-Absentee by Mail 4 - 9,24,26
ICC-Absentee by Mail 2 - 11,4,46
ICC-Absentee by Mail 1 - 10,11,39
ICC-Absentee by Mail 1 - 11,6,44
ICC-Absentee by Mail 4 - 10,15,35
ICC-Absentee by Mail 4 - 11,10,40
ICC-Absentee by Mail 1 - 12,2,48
ICC-Absentee by Mail 2 - 12,18,32
ICC-Absentee by Mail 4 - 12,8,43
ICC-Absentee by Mail 1 - 13,9,19
ICC-Absentee by Mail 2 - 13,8,42
ICC-Absentee by Mail 4 - 13,10,40
ICC-Absentee by Mail 2 - 14,19,31
AV-Robert Howard Comm Ctr  ICP 1 - 0,720,4771
ICC-Absentee by Mail 4 - 14,15,35
ICC-Absentee by Mail 1 - 14,10,40
ICC-Absentee by Mail 1 - 15,7,43
ICC-Absentee by Mail 2 - 15,13,45
AV-Elections Office  ICP 1 - 0,1324,6251
ICC-Absentee by Mail 4 - 15,2,48
ICC-Absentee by Mail 2 - 16,10,40
ICC-Absentee by Mail 4 - 16,9,41
AV-Henry Brigham Center ICP 1 - 0,462,6311
ICC-Absentee by Mail 4 - 17,10,40
AV-Robert Howard Comm Ctr  ICP 2 - 0,377,1996
AV-Warren Road Rec Center ICP 2 - 0,1241,1346
