Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,490,706
ICC-Absentee By Mail - 1,8,33
ICC-Absentee By Mail - 2,7,33
ICC-Absentee By Mail - 3,8,24
ICC-Absentee By Mail - 4,7,33
ICC-Absentee By Mail - 5,9,31
ED-Midway ICP 1 - 0,55,176
ED-Turkey Creek ICP 1 - 0,182,58
ED-High Hill ICP 1 - 0,81,13
ED-Ramah ICP 1 - 0,353,282
ED-Irwinton ICP 1 - 0,117,112
ED-Ivey ICP 1 - 0,317,45
ED-Bloodworth ICP 1 - 0,213,9
ED-Griffin ICP 1 - 0,87,19
ED-Lord ICP 1 - 0,171,104
