Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee By Mail - 1,27,23
ICC-Absentee By Mail - 2,21,29
ICC-Absentee By Mail - 3,28,22
ICC-Absentee By Mail - 4,33,17
ICC-Absentee By Mail - 5,23,26
ICC-Absentee By Mail - 6,27,23
ICC-Absentee By Mail - 7,23,27
ICC-Absentee By Mail - 8,5,4
ICC-Absentee By Mail - 9,1,4
AV-Elections Office ICP 1 - 0,1901,1100
ED-Cordele ICP 2 - 0,315,303
ED-Cordele ICP 1 - 0,263,353
ED-Arabi ICP 1 - 0,198,39
ED-Jamestown ICP 1 - 0,357,25
ED-Coney ICP 1 - 0,267,29
ED-Listonia ICP 1 - 0,242,9
ICC-Absentee By Mail - 10,0,1
ICC-Provisional - 1,1,1
