Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,34,16
ICC-Absentee by Mail - 2,25,24
ICC-Absentee by Mail - 3,31,18
ICC-Absentee by Mail - 4,30,20
ICC-Absentee by Mail - 5,33,17
ICC-Absentee by Mail - 6,27,23
ICC-Absentee by Mail - 7,21,14
ICC-Absentee by Mail - 8,25,25
ICC-Absentee by Mail - 9,31,18
ICC-Absentee by Mail - 10,8,8
AV-Elections Office ICP 1 - 0,3139,852
ICC-Absentee by Mail - 11,27,17
ED-Hiawassee ICP 1 - 0,1062,126
ED-Young Harris ICP 1 - 0,700,97
ICC-Absentee by Mail - 12,4,2
ICC-Provisional - 3,4,3
