Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 9,8,6
ICC - Absentee By Mail - 3,29,20
ICC - Absentee By Mail - 4,33,17
ICC - Absentee By Mail - 2,22,28
ICC - Absentee By Mail - 5,31,19
ICC - Absentee By Mail - 6,31,19
ICC - Absentee By Mail - 7,36,14
ICC - Absentee By Mail - 1,29,21
ICC - Absentee By Mail - 8,34,16
ICC - Absentee By Mail - 10,13,13
AV-Elections Office ICP 1 - 0,1571,525
AV-Elections Office ICP 2 - 0,1030,315
AV-Rockmart Comm Center ICP 1 - 0,1514,439
AV-Rockmart Comm Center ICP 2 - 0,778,222
ED-Aragon ICP 1 - 0,653,92
ED-Blooming Grove ICP 1 - 0,385,37
ED-Cedartown ICP 1 - 0,660,266
ED-Fish Creek ICP 1 - 0,478,51
ED-Fish Creek ICP 2 - 0,132,14
ED-Lake Creek ICP 1 - 0,668,91
ED-Rockmart ICP 1 - 0,878,200
ED-Youngs Grove ICP 1 - 0,484,45
ICC - Provisional - 1,9,1
