Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,28,21
ICC-Absentee by Mail - 2,5,1
ICC-Absentee by Mail - 3,11,5
ICC-Absentee by Mail - 4,36,10
ICC-Absentee by Mail - 5,7,4
ICC-Absentee by Mail - 6,6,1
ICC-Absentee by Mail - 7,45,31
ICC-Absentee by Mail - 8,22,12
ICC-Absentee by Mail - 9,19,14
ICC-Absentee by Mail - 10,5,1
ICC-Absentee by Mail - 11,27,14
ICC-Absentee by Mail - 12,7,1
ICC-Absentee by Mail - 13,17,16
ICC-Absentee by Mail - 14,5,41
ICC-Absentee by Mail - 15,18,17
ICC-Absentee by Mail - 16,34,10
ICC-Absentee by Mail - 17,34,22
ICC-Absentee by Mail - 18,8,16
ICC-Absentee by Mail - 19,1,3
AV-Elections Office ICP 1 - 0,2565,896
AV-Elections Office ICP 2 - 0,1049,365
ED-Danielsville ICP 1 - 0,474,79
ED-Poca ICP 1 - 0,347,40
ED-Ila ICP 1 - 0,430,44
ED-Collins ICP 1 - 0,229,20
ED-Mill ICP 1 - 0,459,46
ED-Colbert ICP 1 - 0,675,247
ED-Paoli ICP 1 - 0,107,13
ED-Fork ICP 1 - 0,165,57
ED-Pittman ICP 1 - 0,517,103
ED-Comer ICP 1 - 0,300,165
ED-Harrison ICP 1 - 0,270,19
ED-Hull ICP 1 - 0,761,365
ICC-Provisional - 2,4,3
ICC-Absentee by Mail - 20,7,10
