Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 1 - 0,1068,858
ICC - Absentee by Mail - 1,15,28
ED-Alma Flournoy ICP 1 - 0,21,4
ICC - Absentee by Mail - 2,27,23
ED-Rye Patch_Oak Dale ICP 1 - 0,311,118
ED-Tibet ICP 1 - 0,199,35
ICC - Absentee by Mail - 3,3,3
ED-Beards Creek ICP 1 - 0,311,124
ED-Faith Baptist Annex ICP 1 - 0,105,44
ED-North Ludowici ICP 1 - 0,211,116
ED-South Ludowici ICP 1 - 1,76,44
ED-South Ludowici ICP 1 - 2,96,75
ICC - Provisional - 1,2,0
