Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-G3  ICP 4 - 0,1915,1594
AV-G3  ICP 3 - 0,574,509
AV-G3  ICP 1 - 0,1732,1494
AV-G3  ICP 2 - 0,1809,1632
AV-Former Euchee Creek Library  ICP 4 - 0,1065,961
AV-Former Euchee Creek Library  ICP 3 - 0,1087,1157
AV-Former Euchee Creek Library  ICP 2 - 0,1012,1087
AV-Former Euchee Creek Library  ICP 1 - 0,1216,1068
ED-Eubank-Blanchard Ctr  ICP 1 - 0,483,113
ED-Christ Church Presbyterian  ICP 1 - 0,594,172
ED-New Life Church  ICP 1 - 0,159,65
ED-Kiokee Bapt Church  ICP 1 - 0,1041,91
ICC-Absentee by Mail 2 - 9,23,27
ICC-Absentee by Mail 2 - 28,21,29
ICC-Absentee by Mail 2 - 3,16,34
ICC-Absentee by Mail 2 - 29,20,30
ICC-Absentee by Mail 2 - 30,23,27
ICC-Absentee by Mail 2 - 26,13,37
ICC-Absentee by Mail 2 - 31,22,28
ICC-Absentee by Mail 2 - 32,20,30
ICC-Absentee by Mail 2 - 27,14,36
ICC-Absentee by Mail 2 - 33,18,9
ICC-Absentee by Mail 2 - 38,15,35
ICC-Absentee by Mail 2 - 39,29,21
ICC-Absentee by Mail 2 - 37,29,21
ICC-Absentee by Mail 2 - 34,19,31
ICC-Absentee by Mail 2 - 36,22,28
ICC-Absentee by Mail 2 - 35,20,30
ICC-Absentee by Mail 2 - 25,19,13
ICC-Absentee by Mail 2 - 24,26,24
ICC-Absentee by Mail 2 - 14,23,27
ICC-Absentee by Mail 2 - 12,19,31
ICC-Absentee by Mail 2 - 10,21,29
ICC-Absentee by Mail 2 - 11,18,32
ICC-Absentee by Mail 2 - 16,22,28
ICC-Absentee by Mail 2 - 17,26,24
ICC-Absentee by Mail 2 - 18,18,32
ICC-Absentee by Mail 2 - 22,21,29
ICC-Absentee by Mail 2 - 23,0,3
ICC-Absentee by Mail 2 - 21,21,29
ICC-Absentee by Mail 2 - 20,33,17
ICC-Absentee by Mail 2 - 19,28,22
ICC-Absentee by Mail 2 - 2,11,38
ICC-Absentee by Mail 2 - 4,18,32
ICC-Absentee by Mail 2 - 40,4,5
ICC-Absentee by Mail 2 - 60,15,34
ICC-Absentee by Mail 2 - 61,26,24
ICC-Absentee by Mail 2 - 6,2,6
ICC-Absentee by Mail 2 - 59,18,32
ICC-Absentee by Mail 2 - 57,15,14
ICC-Absentee by Mail 2 - 58,3,8
ICC-Absentee by Mail 2 - 62,27,23
ICC-Absentee by Mail 2 - 63,21,29
ICC-Absentee by Mail 2 - 64,2,4
ICC-Absentee by Mail 2 - 7,16,34
ICC-Absentee by Mail 2 - 8,14,36
ICC-Absentee by Mail 2 - 68,6,4
ICC-Absentee by Mail 2 - 67,26,26
ICC-Absentee by Mail 2 - 65,16,19
ICC-Absentee by Mail 2 - 66,33,23
ICC-Absentee by Mail 2 - 56,27,23
ICC-Absentee by Mail 2 - 55,24,26
ICC-Absentee by Mail 2 - 45,25,25
ICC-Absentee by Mail 2 - 46,28,22
ICC-Absentee by Mail 2 - 44,23,27
ICC-Absentee by Mail 2 - 43,19,31
ICC-Absentee by Mail 2 - 41,2,8
ICC-Absentee by Mail 2 - 42,17,33
ICC-Absentee by Mail 2 - 47,23,27
ICC-Absentee by Mail 2 - 48,25,25
ICC-Absentee by Mail 2 - 49,3,12
ICC-Absentee by Mail 2 - 53,20,30
ICC-Absentee by Mail 2 - 54,18,32
ICC-Absentee by Mail 2 - 52,19,31
ICC-Absentee by Mail 2 - 51,12,38
ICC-Absentee by Mail 2 - 5,9,26
ICC-Absentee by Mail 2 - 50,16,34
ICC-Absentee by Mail 2 - 1,24,26
ED-Grove First Baptist Church  ICP 1 - 0,254,332
ED-Columbia Co Health Dept  ICP 1 - 0,217,247
ED-Columbia Co Fire HDQTR  ICP 1 - 0,274,133
ED-Columbia Co Health Dept  ICP 2 - 0,224,240
ED-Harlem Senior Center  ICP 1 - 0,410,211
ED-G A Apostolic Church  ICP 1 - 0,399,164
ED-Stevens Creek Church - Grovetown  ICP 1 - 0,285,193
ED-Savannah Rapids Pavilion  ICP 1 - 0,25,8
ED-Savannah Rapids Pavilion  ICP 2 - 0,432,106
ED-Lakeside Middle  ICP 1 - 0,372,195
ED-Riverview Church  ICP 1 - 0,357,118
ED-Harlem Branch Library  ICP 1 - 0,625,163
ED-Belair Baptist Church  ICP 1 - 0,614,267
