Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,33,7
ICC-Absentee by Mail - 2,34,16
ICC-Absentee by Mail - 3,19,12
ICC-Absentee by Mail - 4,25,17
ICC-Absentee by Mail - 5,19,9
ICC-Absentee by Mail - 6,30,12
ICC-Absentee by Mail - 7,25,15
ICC-Absentee by Mail - 8,13,20
ICC-Absentee by Mail - 9,17,15
ICC-Absentee by Mail - 10,25,18
ICC-Absentee by Mail - 11,18,19
ICC-Absentee by Mail - 12,18,19
ICC-Absentee by Mail - 13,21,13
ICC-Absentee by Mail - 14,21,19
ICC-Absentee by Mail - 15,21,18
ICC-Absentee by Mail - 16,17,16
ICC-Absentee by Mail - 17,8,32
ICC-Absentee by Mail - 18,16,23
ICC-Absentee by Mail - 19,37,13
ICC-Absentee by Mail - 20,19,12
ICC-Absentee by Mail - 21,26,15
ICC-Absentee by Mail - 22,27,23
ICC-Absentee by Mail - 23,31,15
ICC-Absentee by Mail - 24,25,24
ICC-Absentee by Mail - 25,9,8
ICC-Absentee by Mail - 26,21,17
ICC-Absentee by Mail - 27,15,21
ICC-Absentee by Mail - 28,23,16
ICC-Absentee by Mail - 29,10,18
ICC-Absentee by Mail - 30,17,9
ICC-Absentee by Mail - 31,35,15
ICC-Absentee by Mail - 32,18,23
ICC-Absentee by Mail - 33,22,9
ICC-Absentee by Mail - 34,24,8
ICC-Absentee by Mail - 35,19,21
ICC-Absentee by Mail - 36,31,13
ICC-Absentee by Mail - 37,17,17
ICC-Absentee by Mail - 38,17,11
ICC-Absentee by Mail - 39,23,17
ICC-Absentee by Mail - 40,24,19
ICC-Absentee by Mail - 41,18,9
ICC-Absentee by Mail - 42,17,8
ICC-Absentee by Mail - 43,14,18
ICC-Absentee by Mail - 44,17,6
ICC-Absentee by Mail - 45,12,20
AV-Elections Office  ICP 1 - 0,2783,1329
AV-Elections Office  ICP 2 - 0,2705,976
AV-Social Circle City Hall  ICP 1 - 0,1333,529
AV-Meridian Park  ICP 1 - 0,6171,3087
ED-South Monroe  ICP 1 - 0,495,207
ED-Walker Park  ICP 1 - 0,935,144
ED-E Monroe  ICP 1 - 0,555,266
ED-Gratis  ICP 1 - 0,492,59
ED-Tara  ICP 1 - 0,446,320
ED-W Monroe  ICP 1 - 0,483,81
ED-Bold Springs  ICP 1 - 0,1221,182
ED-Good Hope  ICP 1 - 0,861,99
ED-Loganville North  ICP 1 - 0,712,297
ED-Between  ICP 1 - 0,1145,200
ED-Walnut Grove  ICP 1 - 0,678,95
ED-North Monroe  ICP 1 - 0,448,389
ED-Loganville South  ICP 1 - 0,491,222
ED-Bay Creek  ICP 1 - 0,628,118
ED-Blasingame  ICP 1 - 0,452,32
ED-Whatley  ICP 1 - 0,369,55
ED-West Walton  ICP 1 - 0,309,85
ED-West Walton  ICP 2 - 0,599,148
ED-Social Circle  ICP 1 - 0,725,207
ED-Mountain  ICP 1 - 0,533,79
ED-Jersey  ICP 1 - 0,710,55
ED-Broken Arrow  ICP 1 - 0,912,120
ICC-Absentee by Mail - 46,1,3
ICC-Provisional - 1,6,0
ICC-Election Day - 1,1,0
