Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ED-Memorial ICP 1 - 0,74,119
AV-Elections Office - ICP 2 - 0,1237,1722
ED-Allenhurst ICP 1 - 0,73,167
AV-Elections Office - ICP 1 - 0,1304,4352
ED-Lewis Frasier ICP 1 - 0,146,162
ED-Progressive Church ICP 1 - 0,88,171
ED-Liberty CC ICP 1 - 0,497,246
ED-Hinesville ICP 1 - 0,216,206
ED-Lyman ICP 1 - 0,105,347
ED-Fleming East ICP 1 - 0,442,139
ED-Victory Baptist ICP 1 - 0,137,295
ED-Gum Branch ICP 1 - 0,331,175
ED-Riceboro ICP 1 - 0,50,171
ED-Performing Arts CTR ICP 1 - 0,110,159
ICC - Absentee by Mail - 1,7,13
ICC - Absentee by Mail - 2,1,25
ICC - Absentee by Mail - 3,6,25
ICC - Absentee by Mail - 4,15,20
ICC - Absentee by Mail - 5,1,23
ICC - Absentee by Mail - 6,17,29
ICC - Absentee by Mail - 7,9,30
ICC - Absentee by Mail - 8,2,29
ICC - Absentee by Mail - 9,12,38
ICC - Absentee by Mail - 10,3,16
ICC - Absentee by Mail - 11,0,4
ICC - Absentee by Mail - 12,1,42
ICC - Absentee by Mail - 13,8,37
ICC - Absentee by Mail - 14,0,50
ICC - Absentee by Mail - 15,8,19
ICC - Absentee by Mail - 16,8,24
ICC - Absentee by Mail - 17,9,40
ICC - Absentee by Mail - 18,0,2
ICC - Absentee by Mail - 19,6,32
ICC - Absentee by Mail - 20,1,31
ICC - Absentee by Mail - 21,6,27
ICC - Absentee by Mail - 22,18,32
ICC - Absentee by Mail - 23,13,26
ICC - Absentee by Mail - 24,8,22
ICC - Absentee by Mail - 25,12,21
ICC - Absentee by Mail - 26,7,28
ICC - Absentee by Mail - 27,14,36
ICC - Absentee by Mail - 28,11,24
ICC - Absentee by Mail - 29,7,24
ICC - Provisional - 1,1,1
ICC - Absentee by Mail - 30,0,9
