Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,15,10
ICC - Absentee by Mail - 2,5,19
ICC - Absentee by Mail - 3,18,6
ICC - Absentee by Mail - 4,17,8
ICC - Absentee by Mail - 5,19,6
ICC - Absentee by Mail - 6,16,9
ICC - Absentee by Mail - 7,10,15
ICC - Absentee by Mail - 8,23,2
ICC - Absentee by Mail - 9,18,7
ICC - Absentee by Mail - 10,20,5
ICC - Absentee by Mail - 11,16,9
ICC - Absentee by Mail - 12,17,8
ICC - Absentee by Mail - 13,21,4
ICC - Absentee by Mail - 14,19,6
ICC - Absentee by Mail - 15,20,5
ICC - Absentee by Mail - 16,24,1
ICC - Absentee by Mail - 17,0,1
AV-Elections Office - ICP 1 - 0,3151,1221
ED-Oglethorpe-Red Hill I ICP 1 - 0,595,69
ED-Empire-Unity ICP 1 - 0,608,94
ED-Pine Street-Rec Center ICP 1 - 0,507,152
ED-Gardi ICP 1 - 0,387,26
ED-Screven ICP 1 - 0,564,70
ED-Odum-Madray Springs ICP 1 - 0,805,37
ED-Altamaha-VFW ICP 1 - 0,389,152
