Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,519,659
ED-Cuthbert-Courthouse ICP 1 - 0,209,216
Absentee By Mail ICC - 1,5,20
Absentee By Mail ICC - 2,0,3
Absentee By Mail ICC - 3,6,19
Absentee By Mail ICC - 4,4,19
Absentee By Mail ICC - 5,4,16
Absentee By Mail ICC - 6,4,12
Absentee By Mail ICC - 7,3,21
Absentee By Mail ICC - 8,4,21
ED-Springvale ICP 1 - 0,27,46
ED-Cuthbert ICP 1 - 0,5,58
ED-Benevolence ICP 1 - 0,52,33
ED-Coleman ICP 1 - 0,50,40
ED-Shellman ICP 1 - 0,166,168
