Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,1150,1439
ICC-Absentee By Mail - 1,8,17
ICC-Absentee By Mail - 19,11,14
ICC-Absentee By Mail - 2,15,10
ICC-Absentee By Mail - 6,1,24
ICC-Absentee By Mail - 7,2,23
ICC-Absentee By Mail - 8,12,13
ICC-Absentee By Mail - 5,6,19
ICC-Absentee By Mail - 4,5,20
ICC-Absentee By Mail - 20,12,13
ICC-Absentee By Mail - 21,2,5
ICC-Absentee By Mail - 3,3,22
ICC-Absentee By Mail - 17,8,17
ICC-Absentee By Mail - 16,7,18
ICC-Absentee By Mail - 14,1,8
ICC-Absentee By Mail - 13,9,16
ICC-Absentee By Mail - 10,3,22
ICC-Absentee By Mail - 12,5,20
ICC-Absentee By Mail - 15,4,21
ICC-Absentee By Mail - 18,7,18
ICC-Absentee By Mail - 11,8,17
ICC-Absentee By Mail - 9,5,20
ED-Louisville ICP 1 - 0,275,314
ED-Wadley ICP 1 - 0,129,305
ED-Avera ICP 1 - 0,174,24
ED-Stapleton Crossroads ICP 1 - 0,90,44
ED-Wrens ICP 1 - 0,448,388
ED-Stapleton ICP 1 - 0,189,89
ED-Matthews ICP 1 - 0,211,61
ED-Bartow ICP 1 - 0,95,57
ICC-Provisional - 1,1,1
