Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 6,11,14
ICC - Absentee By Mail - 4,11,14
ICC - Absentee By Mail - 3,10,15
ICC - Absentee By Mail - 2,16,8
ICC - Absentee By Mail - 1,11,16
ICC - Absentee By Mail - 5,17,8
ICC - Absentee By Mail - 7,16,9
ICC - Absentee By Mail - 8,15,10
ICC - Absentee By Mail - 9,12,13
ICC - Absentee By Mail - 10,9,16
ICC - Absentee By Mail - 11,14,11
ICC - Absentee By Mail - 12,10,15
ICC - Absentee By Mail - 13,1,2
ICC - Absentee By Mail - 14,13,12
ICC - Absentee By Mail - 15,14,11
ICC - Absentee By Mail - 16,10,15
ICC - Absentee By Mail - 17,17,8
ICC - Absentee By Mail - 18,16,9
ICC - Absentee By Mail - 19,7,18
ICC - Absentee By Mail - 20,12,13
ICC - Absentee By Mail - 21,11,14
ICC - Absentee By Mail - 22,13,12
ICC - Absentee By Mail - 23,12,13
ICC - Absentee By Mail - 24,10,15
ICC - Absentee By Mail - 25,16,8
ICC - Absentee By Mail - 26,11,12
ICC - Absentee By Mail - 27,12,13
ICC - Absentee By Mail - 28,15,10
ICC - Absentee By Mail - 29,12,13
ICC - Absentee By Mail - 30,12,13
ICC - Absentee By Mail - 31,11,14
ICC - Absentee By Mail - 32,3,1
ICC - Absentee By Mail - 33,4,4
ICC - Absentee By Mail - 34,4,0
ED-Ringgold ICP 2 - 0,394,110
ED-Ringgold ICP 1 - 0,719,178
AV-Ringgold ICP 1 - 0,1837,657
AV-Ringgold ICP 2 - 0,3108,981
AV-Westside ICP 2 - 0,1621,490
AV-Westside ICP 1 - 0,1595,514
ED-Boynton ICP 2 - 0,543,142
ED-Boynton ICP 1 - 0,550,135
ED-Ft Oglethorpe ICP 1 - 0,275,89
ED-Ft Oglethorpe ICP 2 - 0,293,96
ED-Lakeview ICP 1 - 0,438,120
ED-Westside ICP 2 - 0,330,66
ED-Westside ICP 1 - 0,375,96
ED-Graysville ICP 1 - 0,254,55
ED-Graysville ICP 2 - 0,651,175
ED-Poplar Springs ICP 1 - 0,224,36
ED-Poplar Springs ICP 2 - 0,565,114
ED-Chambers ICP 1 - 0,728,100
ED-Woodstation ICP 1 - 0,838,126
ED-Blackstock ICP 1 - 0,499,52
ED-Catoosa Keith ICP 1 - 0,656,102
ICC - Provisional - 1,10,1
