Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-VR Office ICP 1 - 0,2336,673
ICC - Absentee By Mail - 6,0,3
ICC - Absentee By Mail - 5,5,6
ICC - Absentee By Mail - 3,30,19
ICC - Absentee By Mail - 2,29,21
ICC - Absentee By Mail - 4,29,21
ICC - Absentee By Mail - 1,33,17
ED-Dirttown ICP 1 - 0,300,53
ED-Menlo ICP 1 - 0,366,69
ED-Lyerly Fire ICP 1 - 0,416,73
ED-Trion Rec ICP 1 - 0,933,147
ED-Subligna ICP 1 - 0,198,7
ED-Summerville ICP 1 - 0,755,225
ED-Haywood ICP 1 - 0,70,9
