Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail 1 - 1,8,10
ICC - Absentee by Mail 1 - 7,3,16
ICC - Absentee by Mail 1 - 8,3,16
ICC - Absentee by Mail 1 - 9,4,6
ICC - Absentee by Mail 1 - 4,19,41
ICC - Absentee by Mail 1 - 3,10,33
ICC - Absentee by Mail 1 - 25,12,19
ICC - Absentee by Mail 1 - 26,7,15
ICC - Absentee by Mail 1 - 27,6,17
ICC - Absentee by Mail 1 - 28,7,20
ICC - Absentee by Mail 1 - 29,9,19
ICC - Absentee by Mail 2 - 18,1,12
ICC - Absentee by Mail 2 - 2,14,29
ICC - Absentee by Mail 2 - 9,1,43
ICC - Absentee by Mail 2 - 20,19,37
ICC - Absentee by Mail 2 - 19,13,37
ICC - Absentee by Mail 2 - 16,5,12
ICC - Absentee by Mail 2 - 21,4,46
ICC - Absentee by Mail 2 - 22,10,38
ICC - Absentee by Mail 2 - 23,5,23
ICC - Absentee by Mail 2 - 17,8,25
ICC - Absentee by Mail 2 - 12,1,10
ICC - Absentee by Mail 2 - 11,4,26
ICC - Absentee by Mail 2 - 1,16,21
ICC - Absentee by Mail 2 - 10,3,34
ICC - Absentee by Mail 2 - 13,3,13
ICC - Absentee by Mail 2 - 35,4,29
ICC - Absentee by Mail 2 - 14,17,29
ICC - Absentee by Mail 2 - 25,9,43
ICC - Absentee by Mail 2 - 24,9,48
ICC - Absentee by Mail 2 - 15,6,35
ICC - Absentee by Mail 2 - 4,7,29
ICC - Absentee by Mail 2 - 6,17,42
ICC - Absentee by Mail 2 - 5,2,35
ICC - Absentee by Mail 2 - 34,7,23
ICC - Absentee by Mail 2 - 8,8,47
ICC - Absentee by Mail 2 - 32,9,21
ICC - Absentee by Mail 2 - 27,4,16
ICC - Absentee by Mail 2 - 26,8,25
ICC - Absentee by Mail 2 - 33,11,15
ICC - Absentee by Mail 2 - 7,17,34
ICC - Absentee by Mail 2 - 29,6,10
ICC - Absentee by Mail 2 - 30,5,16
ICC - Absentee by Mail 2 - 3,5,45
ICC - Absentee by Mail 2 - 31,10,23
ICC - Absentee by Mail 2 - 28,7,70
ICC - Absentee by Mail 1 - 18,8,10
ICC - Absentee by Mail 1 - 19,11,28
ICC - Absentee by Mail 1 - 2,12,37
ICC - Absentee by Mail 1 - 21,10,20
ICC - Absentee by Mail 1 - 20,33,23
ICC - Absentee by Mail 1 - 10,5,15
ICC - Absentee by Mail 1 - 11,16,16
ICC - Absentee by Mail 1 - 17,13,25
ICC - Absentee by Mail 1 - 15,10,21
ICC - Absentee by Mail 1 - 16,22,28
ICC - Absentee by Mail 1 - 13,3,10
ICC - Absentee by Mail 1 - 22,6,24
ICC - Absentee by Mail 1 - 14,6,13
ICC - Absentee by Mail 1 - 12,8,28
ICC - Absentee by Mail 1 - 23,12,23
ICC - Absentee by Mail 1 - 6,4,27
ICC - Absentee by Mail 1 - 5,5,41
ICC - Absentee by Mail 2 - 36,1,13
ICC - Absentee by Mail 2 - 43,14,23
ICC - Absentee by Mail 2 - 38,1,5
ICC - Absentee by Mail 2 - 37,6,23
ICC - Absentee by Mail 2 - 39,4,19
ICC - Absentee by Mail 2 - 40,0,6
ICC - Absentee by Mail 2 - 42,7,22
ICC - Absentee by Mail 2 - 41,2,10
ICC - Absentee by Mail 1 - 31,10,26
ICC - Absentee by Mail 1 - 32,7,15
ICC - Absentee by Mail 1 - 33,4,24
ICC - Absentee by Mail 1 - 30,16,10
ICC - Absentee By Mail 3 - 17,4,6
ICC - Absentee By Mail 3 - 9,8,8
ICC - Absentee By Mail 3 - 18,1,3
ICC - Absentee By Mail 3 - 19,7,12
ICC - Absentee By Mail 3 - 2,1,17
ICC - Absentee By Mail 3 - 16,3,7
ICC - Absentee By Mail 3 - 15,0,8
ICC - Absentee By Mail 3 - 14,6,7
ICC - Absentee By Mail 3 - 10,2,12
ICC - Absentee By Mail 3 - 11,7,9
ICC - Absentee By Mail 3 - 12,3,6
ICC - Absentee By Mail 3 - 13,4,14
ICC - Absentee By Mail 3 - 20,1,3
ICC - Absentee By Mail 3 - 21,0,4
ICC - Absentee By Mail 3 - 5,2,8
ICC - Absentee By Mail 3 - 6,1,7
ICC - Absentee By Mail 3 - 7,3,8
ICC - Absentee By Mail 3 - 8,1,12
ICC - Absentee By Mail 3 - 4,1,2
ICC - Absentee By Mail 3 - 3,2,9
ICC - Absentee By Mail 3 - 26,1,41
ICC - Absentee By Mail 3 - 22,3,2
ICC - Absentee By Mail 3 - 23,1,6
ICC - Absentee By Mail 3 - 24,0,7
ICC - Absentee By Mail 3 - 25,4,9
ICC - Absentee By Mail 3 - 1,4,4
ICC - Absentee by Mail 1 - 24,6,25
AV - ACC Library ICP 1 - 0,749,2379
AV - Board of Elections ICP 1 - 0,1011,5847
