Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,9,28
Absentee By Mail ICC - 2,13,27
Absentee By Mail ICC - 3,19,29
Absentee By Mail ICC - 4,15,17
Absentee By Mail ICC - 5,21,14
Absentee By Mail ICC - 6,25,16
Absentee By Mail ICC - 7,4,2
Absentee By Mail ICC - 8,8,7
Absentee By Mail ICC - 9,1,2
Absentee By Mail ICC - 10,20,27
Absentee By Mail ICC - 11,26,15
Absentee By Mail ICC - 12,28,8
AV-Elections Office ICP 1 - 0,1555,752
AV-Elections Office ICP 2 - 0,2081,1038
Absentee By Mail ICC - 13,1,1
ED-Friendship Baptist ICP 1 - 0,363,64
ED-CJC ICP 1 - 0,163,18
ED-Redbone ICP 1 - 0,1178,260
ED-Smithville ICP 1 - 0,163,122
ED-Leesburg ICP 1 - 0,494,207
ED-Century Fire Station ICP 1 - 0,495,233
ED-Chokee ICP 1 - 0,76,53
ED-Flint Reformed Baptist ICP 1 - 0,474,161
ED-First Baptist Church ICP 1 - 0,1073,331
ED-SDA Church ICP 1 - 0,435,128
Absentee By Mail ICC - 14,2,1
Provisional ICC - 1,1,1
