Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 16,14,11
ICC-Absentee by Mail - 9,8,17
ICC-Absentee by Mail - 18,7,18
ICC-Absentee by Mail - 19,6,19
ICC-Absentee by Mail - 17,9,16
ICC-Absentee by Mail - 10,6,19
ICC-Absentee by Mail - 11,7,18
ICC-Absentee by Mail - 14,8,17
ICC-Absentee by Mail - 15,11,14
ICC-Absentee by Mail - 12,9,17
ICC-Absentee by Mail - 13,6,19
ICC-Absentee by Mail - 20,7,18
ICC-Absentee by Mail - 2,5,20
ICC-Absentee by Mail - 6,19,6
ICC-Absentee by Mail - 5,6,19
ICC-Absentee by Mail - 7,12,13
ICC-Absentee by Mail - 8,11,14
ICC-Absentee by Mail - 4,11,14
ICC-Absentee by Mail - 3,6,19
ICC-Absentee by Mail - 21,12,13
ICC-Absentee by Mail - 22,3,21
ICC-Absentee by Mail - 23,6,19
ICC-Absentee by Mail - 24,6,22
ICC-Absentee by Mail - 1,10,15
AV-Dearing Comm Center ICP 1 - 0,717,291
AV-Precinct on Main ICP 1 - 0,1659,1209
AV-Precinct on Main ICP 2 - 0,510,295
ICC-Absentee by Mail - 25,9,13
NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 2 - 0,274,149
NMcDuffie-Cedar Rock-Depot-Sweetwater-White Oak ICP 1 - 0,840,543
Dearing-Fort Creek ICP 1 - 0,502,95
ICC-Absentee by Mail - 26,1,0
