Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Courthouse ICP 1 - 0,1148,253
ICC - Absentee By Mail - 1,14,11
ICC - Absentee By Mail - 13,1,1
ICC - Absentee By Mail - 11,16,9
ICC - Absentee By Mail - 14,12,12
ICC - Absentee By Mail - 12,17,6
ICC - Absentee By Mail - 9,17,8
ICC - Absentee By Mail - 7,19,6
ICC - Absentee By Mail - 3,11,14
ICC - Absentee By Mail - 2,15,10
ICC - Absentee By Mail - 10,15,10
ICC - Absentee By Mail - 8,21,4
ICC - Absentee By Mail - 5,15,10
ICC - Absentee By Mail - 4,17,8
ICC - Absentee By Mail - 6,17,8
ED-Cooksville-Corinth ICP 1 - 0,172,17
ED-Enon Grove ICP 1 - 0,300,20
ED-Franklin ICP 1 - 0,397,96
ED-Centralhatchee ICP 1 - 0,551,56
ED-Southwest ICP 1 - 0,161,43
ED-Ephesus ICP 1 - 0,469,37
ICC - Provisional - 1,2,0
