Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 1 - 0,679,1614
AV Byron - 0,2057,1173
ICC - Absentee by Mail - 1,15,35
ICC - Absentee by Mail - 2,8,43
ICC - Absentee by Mail - 3,13,37
ICC - Absentee by Mail - 4,14,37
ICC - Absentee by Mail - 5,13,37
ICC - Absentee by Mail - 6,11,39
ICC - Absentee by Mail - 7,17,16
ED-Byron 1 ICP 1 - 0,385,135
ED-Claude ICP 1 - 0,241,40
ED-Fort Valley 1 ICP 2 - 0,192,293
ED-Powersville ICP 1 - 0,291,81
ED-Byron 2 ICP 1 - 0,543,246
ED-Byron 2 ICP 2 - 0,9,5
ED-Fort Valley 2 ICP 1 - 0,155,228
ED-Fort Valley 3 ICP 2 - 0,71,290
ICC - Absentee by Mail - 8,9,25
ICC - Absentee by Mail - 9,14,30
ICC - Absentee by Mail - 10,14,22
ICC - Provisional - 1,0,7
