Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,21,29
ICC-Absentee by Mail - 2,15,35
ICC-Absentee by Mail - 3,16,34
ICC-Absentee by Mail - 4,10,40
ICC-Absentee by Mail - 5,21,29
ICC-Absentee by Mail - 6,18,32
ICC-Absentee by Mail - 7,14,36
ICC-Absentee by Mail - 8,27,23
ICC-Absentee by Mail - 9,12,13
ICC-Absentee by Mail - 10,0,1
ICC-Absentee by Mail - 11,4,6
AV-Elections Office ICP 1 - 0,1622,1213
ED-Raleigh ICP 1 - 0,139,27
ED-Third-Durand ICP 1 - 0,182,54
ED-Lower 9th-Woodbury ICP 1 - 0,252,235
ED-Cove ICP 1 - 0,105,9
ED-8th-Greenville ICP 1 - 0,230,154
ED-Luthersville ICP 1 - 0,534,256
ED-Upper 9th-Alvaton ICP 1 - 0,420,192
ED-Chalybeate ICP 1 - 0,192,20
ED-2nd-Warm Springs ICP 1 - 0,285,154
ED-Gill I ICP 1 - 0,362,202
ED-Gill II ICP 1 - 0,66,222
ED-Middle 9th-Gay ICP 1 - 0,133,34
ED-7th-Odessadale ICP 1 - 0,71,47
ED-Lone Oak ICP 1 - 0,268,147
ICC-Absentee by Mail - 12,0,1
ICC-Provisional - 1,1,0
