Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
" Box 1,2,3 AV-Elections Office ICP 1 - 0",5241,1553
Box 5 ED-Dahlonega ICP 1 - 0,982,147
Box 5 ED-Dahlonega ICP 2 - 0,985,148
Box 6 ED-Dahlonega ICP 3 - 0,1085,181
Box 6 ED-Dahlonega ICP 4 - 0,370,70
Box 4 ICC - Absentee By Mail - 12,22,9
Box 4 ICC - Absentee By Mail - 10,34,16
Box 4 ICC - Absentee By Mail - 9,29,21
Box 4 ICC - Absentee By Mail - 11,28,22
Box 4 ICC - Absentee By Mail - 2,26,24
Box 4 ICC - Absentee By Mail - 4,28,22
Box 4 ICC - Absentee By Mail - 8,28,22
Box 4 ICC - Absentee By Mail - 7,26,24
Box 4 ICC - Absentee By Mail - 3,34,16
Box 4 ICC - Absentee By Mail - 6,32,18
Box 4 ICC - Absentee By Mail - 1,11,14
Box 4 ICC - Absentee By Mail - 5,27,23
Box 4 ICC - Absentee By Mail - 13,13,9
Box 4 ICC - Provisional - 1,4,0
