Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 6,5,1
ICC - Absentee by Mail - 4,13,7
ICC - Absentee by Mail - 2,10,10
ICC - Absentee by Mail - 3,14,6
ICC - Absentee by Mail - 5,14,6
ICC - Absentee by Mail - 1,13,7
AV-Elections Office - ICP 1 - 0,630,248
ED-Abbeville North ICP 1 - 0,63,34
ED-Abbeville South ICP 1 - 0,195,49
ED-Rochelle South ICP 1 - 0,311,33
ED-Pitts ICP 1 - 0,307,27
ED-Pineview ICP 1 - 0,153,108
ED-Rochelle North ICP 1 - 0,37,79
