Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-South  ICP 1 - 0,136,1831
AV-South  ICP 2 - 0,241,2639
AV-Mableton  ICP 1 - 0,779,4441
AV-Kennesaw  ICP 2 - 0,2680,3990
AV-Mableton  ICP 2 - 0,958,5231
AV-Kennesaw  ICP 1 - 0,1736,2523
ICC-Absentee by Mail 2 - 20,0,1
ICC-Absentee by Mail 2 - 200,1,1
ICC-Absentee by Mail 2 - 99,0,2
ICC-Absentee by Mail 2 - 201,8,11
ICC-Absentee by Mail 2 - 2,0,1
ICC-Absentee by Mail 2 - 196,0,2
ICC-Absentee by Mail 2 - 197,1,2
ICC-Absentee by Mail 2 - 202,3,4
ICC-Absentee by Mail 2 - 198,10,8
ICC-Absentee by Mail 2 - 199,5,6
ICC-Absentee by Mail 2 - 210,1,0
ICC-Absentee by Mail 2 - 21,4,4
ICC-Absentee by Mail 2 - 211,0,1
ICC-Absentee by Mail 2 - 203,7,12
ICC-Absentee by Mail 2 - 204,6,14
ICC-Absentee by Mail 2 - 208,0,2
ICC-Absentee by Mail 2 - 206,0,1
ICC-Absentee by Mail 2 - 207,1,1
ICC-Absentee by Mail 2 - 209,0,2
ICC-Absentee by Mail 2 - 205,7,15
ICC-Absentee by Mail 2 - 183,0,5
ICC-Absentee by Mail 2 - 195,1,2
ICC-Absentee by Mail 2 - 182,5,8
ICC-Absentee by Mail 2 - 181,3,8
ICC-Absentee by Mail 2 - 194,11,6
ICC-Absentee by Mail 2 - 178,3,2
ICC-Absentee by Mail 2 - 18,2,1
ICC-Absentee by Mail 2 - 180,2,6
ICC-Absentee by Mail 2 - 179,4,5
ICC-Absentee by Mail 2 - 177,5,5
ICC-Absentee by Mail 2 - 191,7,7
ICC-Absentee by Mail 2 - 192,2,4
ICC-Absentee by Mail 2 - 184,7,5
ICC-Absentee by Mail 2 - 185,4,7
ICC-Absentee by Mail 2 - 186,6,16
ICC-Absentee by Mail 2 - 19,0,1
ICC-Absentee by Mail 2 - 188,1,6
ICC-Absentee by Mail 2 - 187,7,6
ICC-Absentee by Mail 2 - 190,6,8
ICC-Absentee by Mail 2 - 193,4,17
ICC-Absentee by Mail 2 - 239,2,7
ICC-Absentee by Mail 2 - 213,2,11
ICC-Absentee by Mail 2 - 189,2,1
ICC-Absentee by Mail 2 - 212,6,11
ICC-Absentee by Mail 2 - 214,3,11
ICC-Absentee by Mail 2 - 24,1,0
ICC-Absentee by Mail 2 - 237,2,7
ICC-Absentee by Mail 2 - 234,5,1
ICC-Absentee by Mail 2 - 238,3,11
ICC-Absentee by Mail 2 - 240,3,17
ICC-Absentee by Mail 2 - 241,1,3
ICC-Absentee by Mail 2 - 243,6,9
ICC-Absentee by Mail 2 - 235,1,4
ICC-Absentee by Mail 2 - 236,3,9
ICC-Absentee by Mail 2 - 242,7,10
ICC-Absentee by Mail 2 - 25,1,1
ICC-Absentee by Mail 2 - 248,6,5
ICC-Absentee by Mail 2 - 249,8,11
ICC-Absentee by Mail 2 - 247,3,14
ICC-Absentee by Mail 2 - 250,8,8
ICC-Absentee by Mail 2 - 232,3,3
ICC-Absentee by Mail 2 - 245,2,11
ICC-Absentee by Mail 2 - 244,10,3
ICC-Absentee by Mail 2 - 246,2,0
ICC-Absentee by Mail 2 - 233,6,10
ICC-Absentee by Mail 2 - 22,0,4
ICC-Absentee by Mail 2 - 220,5,5
ICC-Absentee by Mail 2 - 219,0,1
ICC-Absentee by Mail 2 - 218,1,1
ICC-Absentee by Mail 2 - 221,7,16
ICC-Absentee by Mail 2 - 216,0,2
ICC-Absentee by Mail 2 - 215,1,3
ICC-Absentee by Mail 2 - 217,3,1
ICC-Absentee by Mail 2 - 223,10,17
ICC-Absentee by Mail 2 - 222,24,23
ICC-Absentee by Mail 2 - 224,5,5
ICC-Absentee by Mail 2 - 229,1,3
ICC-Absentee by Mail 2 - 231,3,9
ICC-Absentee by Mail 2 - 23,0,1
ICC-Absentee by Mail 2 - 230,11,10
ICC-Absentee by Mail 2 - 228,3,5
ICC-Absentee by Mail 2 - 227,1,5
ICC-Absentee by Mail 2 - 176,4,11
ICC-Absentee by Mail 2 - 225,2,9
ICC-Absentee by Mail 2 - 226,16,26
ICC-Absentee by Mail 2 - 125,0,2
ICC-Absentee by Mail 2 - 124,0,2
ICC-Absentee by Mail 2 - 175,1,14
ICC-Absentee by Mail 2 - 122,0,3
ICC-Absentee by Mail 2 - 123,2,10
ICC-Absentee by Mail 2 - 126,1,2
ICC-Absentee by Mail 2 - 120,0,5
ICC-Absentee by Mail 2 - 119,0,1
ICC-Absentee by Mail 2 - 12,0,4
ICC-Absentee by Mail 2 - 121,0,2
ICC-Absentee by Mail 2 - 127,0,2
ICC-Absentee by Mail 2 - 134,6,12
ICC-Absentee by Mail 2 - 128,0,1
ICC-Absentee by Mail 2 - 135,12,13
ICC-Absentee by Mail 2 - 133,12,10
ICC-Absentee by Mail 2 - 129,1,1
ICC-Absentee by Mail 2 - 13,2,1
ICC-Absentee by Mail 2 - 132,8,9
ICC-Absentee by Mail 2 - 130,0,6
ICC-Absentee by Mail 2 - 131,2,8
ICC-Absentee by Mail 2 - 117,0,3
ICC-Absentee by Mail 2 - 106,0,1
ICC-Absentee by Mail 2 - 118,1,0
ICC-Absentee by Mail 2 - 105,0,1
ICC-Absentee by Mail 2 - 104,1,0
ICC-Absentee by Mail 2 - 10,0,7
ICC-Absentee by Mail 2 - 103,0,1
ICC-Absentee by Mail 2 - 102,0,7
ICC-Absentee by Mail 2 - 100,0,3
ICC-Absentee by Mail 2 - 101,1,5
ICC-Absentee by Mail 2 - 109,0,4
ICC-Absentee by Mail 2 - 108,0,1
ICC-Absentee by Mail 2 - 107,0,4
ICC-Absentee by Mail 2 - 114,0,1
ICC-Absentee by Mail 2 - 115,0,1
ICC-Absentee by Mail 2 - 113,0,1
ICC-Absentee by Mail 2 - 110,4,3
ICC-Absentee by Mail 2 - 11,1,3
ICC-Absentee by Mail 2 - 116,0,2
ICC-Absentee by Mail 2 - 112,0,2
ICC-Absentee by Mail 2 - 136,2,5
ICC-Absentee by Mail 2 - 138,0,1
ICC-Absentee by Mail 2 - 111,1,1
ICC-Absentee by Mail 2 - 137,2,10
ICC-Absentee by Mail 2 - 162,5,17
ICC-Absentee by Mail 2 - 160,0,2
ICC-Absentee by Mail 2 - 158,0,2
ICC-Absentee by Mail 2 - 164,8,12
ICC-Absentee by Mail 2 - 161,3,4
ICC-Absentee by Mail 2 - 163,12,14
ICC-Absentee by Mail 2 - 16,0,1
ICC-Absentee by Mail 2 - 167,0,2
ICC-Absentee by Mail 2 - 159,2,0
ICC-Absentee by Mail 2 - 165,6,10
ICC-Absentee by Mail 2 - 166,2,4
ICC-Absentee by Mail 2 - 174,4,15
ICC-Absentee by Mail 2 - 170,0,1
ICC-Absentee by Mail 2 - 172,0,1
ICC-Absentee by Mail 2 - 173,7,7
ICC-Absentee by Mail 2 - 171,0,1
ICC-Absentee by Mail 2 - 157,3,0
ICC-Absentee by Mail 2 - 17,1,0
ICC-Absentee by Mail 2 - 168,0,1
ICC-Absentee by Mail 2 - 156,0,1
ICC-Absentee by Mail 2 - 169,1,0
ICC-Absentee by Mail 2 - 142,0,1
ICC-Absentee by Mail 2 - 143,0,1
ICC-Absentee by Mail 2 - 145,0,1
ICC-Absentee by Mail 2 - 144,0,1
ICC-Absentee by Mail 2 - 141,3,13
ICC-Absentee by Mail 2 - 14,1,0
ICC-Absentee by Mail 2 - 146,0,1
ICC-Absentee by Mail 2 - 139,3,21
ICC-Absentee by Mail 2 - 140,2,0
ICC-Absentee by Mail 2 - 147,0,1
ICC-Absentee by Mail 2 - 155,0,1
ICC-Absentee by Mail 2 - 152,0,1
ICC-Absentee by Mail 2 - 148,0,1
ICC-Absentee by Mail 2 - 154,0,1
ICC-Absentee by Mail 2 - 153,0,1
ICC-Absentee by Mail 2 - 150,0,1
ICC-Absentee by Mail 2 - 151,0,1
ICC-Absentee by Mail 2 - 251,0,4
ICC-Absentee by Mail 2 - 15,1,3
ICC-Absentee by Mail 2 - 149,1,1
ICC-Absentee by Mail 2 - 46,0,1
ICC-Absentee by Mail 2 - 47,0,2
ICC-Absentee by Mail 2 - 48,1,1
ICC-Absentee by Mail 2 - 49,1,1
ICC-Absentee by Mail 2 - 252,7,4
ICC-Absentee by Mail 2 - 44,0,1
ICC-Absentee by Mail 2 - 42,1,6
ICC-Absentee by Mail 2 - 5,0,2
ICC-Absentee by Mail 2 - 45,2,1
ICC-Absentee by Mail 2 - 43,1,3
ICC-Absentee by Mail 2 - 58,1,0
ICC-Absentee by Mail 2 - 51,1,1
ICC-Absentee by Mail 2 - 50,0,4
ICC-Absentee by Mail 2 - 57,0,1
ICC-Absentee by Mail 2 - 59,0,2
ICC-Absentee by Mail 2 - 52,0,4
ICC-Absentee by Mail 2 - 55,0,1
ICC-Absentee by Mail 2 - 53,0,1
ICC-Absentee by Mail 2 - 56,2,3
ICC-Absentee by Mail 2 - 54,2,1
ICC-Absentee by Mail 2 - 40,0,7
ICC-Absentee by Mail 2 - 336,2,8
ICC-Absentee by Mail 2 - 335,0,7
ICC-Absentee by Mail 2 - 334,4,9
ICC-Absentee by Mail 2 - 41,1,0
ICC-Absentee by Mail 2 - 33,0,2
ICC-Absentee by Mail 2 - 330,7,12
ICC-Absentee by Mail 2 - 331,4,8
ICC-Absentee by Mail 2 - 333,5,3
ICC-Absentee by Mail 2 - 332,5,13
ICC-Absentee by Mail 2 - 38,0,1
ICC-Absentee by Mail 2 - 339,1,3
ICC-Absentee by Mail 2 - 337,0,3
ICC-Absentee by Mail 2 - 338,9,14
ICC-Absentee by Mail 2 - 39,0,2
ICC-Absentee by Mail 2 - 34,0,1
ICC-Absentee by Mail 2 - 36,2,2
ICC-Absentee by Mail 2 - 37,0,3
ICC-Absentee by Mail 2 - 4,0,2
ICC-Absentee by Mail 2 - 340,3,12
ICC-Absentee by Mail 2 - 6,0,1
ICC-Absentee by Mail 2 - 35,1,0
ICC-Absentee by Mail 2 - 61,0,1
ICC-Absentee by Mail 2 - 60,0,2
