Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,27,23
ICC - Absentee by Mail - 2,20,29
ICC - Absentee by Mail - 3,16,33
ICC - Absentee by Mail - 4,18,32
ICC - Absentee by Mail - 5,24,26
ICC - Absentee by Mail - 6,22,28
ICC - Absentee by Mail - 7,31,19
ICC - Absentee by Mail - 8,15,35
ICC - Absentee by Mail - 9,20,29
ICC - Absentee by Mail - 10,21,29
ICC - Absentee by Mail - 11,22,28
ICC - Absentee by Mail - 12,20,30
ICC - Absentee by Mail - 13,19,28
ICC - Absentee by Mail - 14,20,28
ICC - Absentee by Mail - 15,16,12
ICC - Absentee by Mail - 16,19,30
ICC - Absentee by Mail - 17,9,16
ICC - Absentee by Mail - 18,12,14
AV-Elections Office - ICP 1 - 0,2824,1308
AV-Elections Office - ICP 2 - 0,1880,990
ED-4C ICP 1 - 0,481,112
ED-3C ICP 1 - 0,377,99
ED-1B ICP 1 - 0,715,110
ED-2C ICP 1 - 0,561,185
ED-5B ICP 1 - 0,441,143
ED-3A ICP 1 - 0,447,69
ED-5C ICP 1 - 0,464,240
ED-1A ICP 1 - 0,830,191
ED-3E ICP 1 - 0,291,47
ED-4B ICP 1 - 0,400,194
ED-1D ICP 1 - 0,710,105
ED-2B ICP 1 - 0,476,92
ED-2A ICP 1 - 0,713,192
ED-1C ICP 1 - 0,612,136
ED-5D ICP 1 - 0,412,172
ED-2D ICP 1 - 0,767,230
ED-5A ICP 1 - 0,718,222
ED-3D ICP 1 - 0,731,282
ED-3B ICP 1 - 0,644,201
ED-4A ICP 1 - 0,817,192
ICC - Provisional - 1,6,4
