Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,42,6
ICC - Absentee By Mail - 2,36,15
ICC - Absentee By Mail - 3,38,11
ICC - Absentee By Mail - 4,32,18
ICC - Absentee By Mail - 5,36,14
ICC - Absentee By Mail - 6,35,15
ICC - Absentee By Mail - 7,30,20
ICC - Absentee By Mail - 8,38,12
ICC - Absentee By Mail - 9,18,9
ICC - Absentee By Mail - 10,1,2
AV-Elections Office ICP 1 - 0,3226,642
ED-Buchanan ICP 1 - 0,583,51
ED-Mt View ICP 1 - 0,154,8
ED-Berea-Steadman ICP 1 - 0,227,15
ED-Little Creek ICP 1 - 0,301,17
ED-Twentieth ICP 1 - 0,271,21
ED-Felton ICP 1 - 0,137,6
ED-Corinth ICP 1 - 0,492,35
ED-Bremen ICP 1 - 0,1432,229
ED-Tallapoosa ICP 1 - 0,706,102
ED-Waco ICP 1 - 0,355,40
ED-Buncombe ICP 1 - 0,323,36
ED-Seventh ICP 1 - 0,538,48
ICC - Provisional - 1,0,1
