Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,2567,1735
ED-Barron ICP 1 - 0,422,75
ED-Clinton ICP 1 - 0,517,126
ED-Ethridge ICP 1 - 0,343,135
ED-Sanders ICP 1 - 0,93,16
ED-Pope ICP 1 - 0,496,155
ED-Hawkins ICP 1 - 0,365,385
ED-Gray ICP 1 - 0,542,147
ED-Davidson ICP 1 - 0,514,60
ED-Finney ICP 1 - 0,786,228
ED-Roberts ICP 1 - 0,549,246
ICC-Absentee by Mail - 1,15,24
ICC-Absentee by Mail - 2,19,31
ICC-Absentee by Mail - 3,23,27
ICC-Absentee by Mail - 4,24,26
ICC-Absentee by Mail - 5,22,29
ICC-Absentee by Mail - 6,20,30
ICC-Absentee by Mail - 7,26,24
ICC-Absentee by Mail - 8,10,39
ICC-Absentee by Mail - 9,18,32
ICC-Absentee by Mail - 10,21,30
ICC-Absentee by Mail - 11,17,29
ICC-Absentee by Mail - 12,22,27
ICC-Absentee by Mail - 13,19,33
ICC-Absentee by Mail - 14,22,32
ICC-Absentee by Mail - 15,27,23
ICC-Provisional - 1,3,0
