Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 1 - 0,1596,1846
ED-Sandersville ICP 2 - 0,260,305
ED-Sandersville ICP 1 - 0,285,320
ED-Deepstep ICP 1 - 0,193,36
ICC - Absentee by Mail - 1,8,17
ICC - Absentee by Mail - 9,7,18
ICC - Absentee by Mail - 16,9,16
ICC - Absentee by Mail - 17,13,12
ICC - Absentee by Mail - 18,6,19
ICC - Absentee by Mail - 19,21,17
ICC - Absentee by Mail - 15,2,23
ICC - Absentee by Mail - 14,4,21
ICC - Absentee by Mail - 10,5,20
ICC - Absentee by Mail - 11,8,15
ICC - Absentee by Mail - 12,10,15
ICC - Absentee by Mail - 13,8,17
ICC - Absentee by Mail - 2,7,18
ICC - Absentee by Mail - 20,10,15
ICC - Absentee by Mail - 5,4,21
ICC - Absentee by Mail - 6,8,17
ICC - Absentee by Mail - 7,6,19
ICC - Absentee by Mail - 8,5,20
ICC - Absentee by Mail - 4,7,18
ICC - Absentee by Mail - 3,9,15
ICC - Absentee by Mail - 21,0,1
ICC - Absentee by Mail - 22,8,17
ICC - Absentee by Mail - 23,3,22
ICC - Absentee by Mail - 24,8,17
ED-Riddleville ICP 1 - 0,158,67
ED-Tennille ICP 1 - 0,261,370
ED-Oconee ICP 1 - 0,156,70
ED-Davisboro ICP 1 - 0,176,113
ED-Warthen ICP 1 - 0,185,120
ED-Harrison ICP 1 - 0,219,96
ICC - Absentee by Mail - 25,2,0
ICC - Provisional - 1,0,1
