Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 1 - 0,2235,708
ED-3C ICP 1 - 0,276,56
ED-3A1 ICP 1 - 0,260,7
ED-1C ICP 1 - 0,255,9
ED-1B ICP 1 - 0,350,16
ED-4B ICP 1 - 0,359,11
ED-5B ICP 1 - 0,290,23
ED-4D ICP 1 - 0,349,32
ED-5A ICP 1 - 0,264,25
ICC - Absentee by Mail - 1,7,13
ICC - Absentee by Mail - 2,11,13
ICC - Absentee by Mail - 3,19,6
ICC - Absentee by Mail - 4,19,6
ICC - Absentee by Mail - 5,21,4
ICC - Absentee by Mail - 6,15,9
ICC - Absentee by Mail - 7,6,19
ICC - Absentee by Mail - 8,18,7
ICC - Absentee by Mail - 9,18,7
ICC - Absentee by Mail - 10,4,21
ICC - Absentee by Mail - 11,21,4
ICC - Absentee by Mail - 12,20,5
ICC - Absentee by Mail - 13,5,20
ICC - Absentee by Mail - 14,22,3
ICC - Absentee by Mail - 15,20,5
ED-2  ICP 2 - 0,179,193
