Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,18,7
ICC-Absentee by Mail - 2,16,9
ICC-Absentee by Mail - 3,17,8
ICC-Absentee by Mail - 4,21,4
ICC-Absentee by Mail - 5,14,11
ICC-Absentee by Mail - 6,12,13
ICC-Absentee by Mail - 7,14,11
ICC-Absentee by Mail - 8,19,6
ICC-Absentee by Mail - 9,13,12
ICC-Absentee by Mail - 10,13,12
ICC-Absentee by Mail - 11,15,10
ICC-Absentee by Mail - 12,19,6
ICC-Absentee by Mail - 13,16,9
ICC-Absentee by Mail - 14,19,6
ICC-Absentee by Mail - 15,20,5
ICC-Absentee by Mail - 16,17,8
ICC-Absentee by Mail - 17,13,12
ICC-Absentee by Mail - 18,17,8
ICC-Absentee by Mail - 19,12,13
ICC-Absentee by Mail - 20,9,16
ICC-Absentee by Mail - 21,14,11
ICC-Absentee by Mail - 22,17,8
ICC-Absentee by Mail - 23,16,9
ICC-Absentee by Mail - 24,16,9
ICC-Absentee by Mail - 25,17,8
ICC-Absentee by Mail - 26,17,8
ICC-Absentee by Mail - 27,3,5
ICC-Absentee by Mail - 28,19,5
ICC-Absentee by Mail - 29,18,7
AV-Elections Office ICP 1 - 0,2056,633
AV-Elections Office ICP 2 - 0,1539,456
ICC-Absentee by Mail - 30,11,3
ED-Rabun County ICP 1 - 0,456,93
ED-Rabun County ICP 2 - 0,454,83
ED-Rabun County ICP 3 - 0,774,182
ICC-Absentee by Mail - 31,1,0
