Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,39,11
ICC - Absentee By Mail - 2,39,11
ICC - Absentee By Mail - 3,29,21
ICC - Absentee By Mail - 4,24,26
ICC - Absentee By Mail - 5,14,10
ICC - Absentee By Mail - 6,3,4
AV-Murray Co Rec Center ICP 1 - 0,2092,372
AV-Murray Co Rec Center ICP 2 - 0,1409,243
ED-Southwest ICP 1 - 0,788,83
ED-Carters-Doolittle ICP 1 - 0,598,53
ED-North ICP 1 - 0,649,64
ED-Shuck Pen ICP 1 - 0,813,96
ED-Spring Place ICP 1 - 0,839,118
ED-McDonald ICP 1 - 0,497,65
ED-Town ICP 2 - 0,761,118
ED-Town ICP 1 - 0,299,44
