Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,27,22
ICC-Absentee by Mail - 2,22,21
ICC-Absentee by Mail - 3,13,37
ICC-Absentee by Mail - 4,12,29
ICC-Absentee by Mail - 5,28,22
ICC-Absentee by Mail - 6,30,20
ICC-Absentee by Mail - 7,28,21
ICC-Absentee by Mail - 8,21,29
ICC-Absentee by Mail - 9,36,11
ICC-Absentee by Mail - 10,18,21
ICC-Absentee by Mail - 11,6,44
ICC-Absentee by Mail - 12,33,17
ICC-Absentee by Mail - 13,31,18
ICC-Absentee by Mail - 14,31,19
ICC-Absentee by Mail - 15,18,29
ICC-Absentee by Mail - 16,18,32
ICC-Absentee by Mail - 17,20,25
ICC-Absentee by Mail - 18,20,23
ICC-Absentee by Mail - 19,21,29
ICC-Absentee by Mail - 20,13,36
ICC-Absentee by Mail - 21,21,29
ICC-Absentee by Mail - 22,22,28
ICC-Absentee by Mail - 23,26,24
ICC-Absentee by Mail - 24,21,16
ICC-Absentee by Mail - 25,26,20
ICC-Absentee by Mail - 26,11,13
ICC-Absentee by Mail - 27,10,13
ICC-Absentee by Mail - 28,18,8
ICC-Absentee by Mail - 29,28,21
ICC-Absentee by Mail - 30,34,16
ICC-Absentee by Mail - 31,25,25
ICC-Absentee by Mail - 32,27,29
ICC-Absentee by Mail - 33,28,22
ICC-Absentee by Mail - 34,14,7
ICC-Absentee by Mail - 35,21,29
ICC-Absentee by Mail - 36,17,5
ICC-Absentee by Mail - 37,22,17
ICC-Absentee by Mail - 38,22,28
ICC-Absentee by Mail - 39,18,18
ICC-Absentee by Mail - 40,22,29
ICC-Absentee by Mail - 41,31,18
ICC-Absentee by Mail - 42,24,27
ICC-Absentee by Mail - 43,29,15
ICC-Absentee by Mail - 44,21,20
ICC-Absentee by Mail - 45,28,15
ICC-Absentee by Mail - 46,1,34
ICC-Absentee by Mail - 47,4,18
ICC-Absentee by Mail - 48,34,15
ICC-Absentee by Mail - 49,21,28
ICC-Absentee by Mail - 50,29,21
ICC-Absentee by Mail - 51,15,16
ICC-Absentee by Mail - 52,16,15
ICC-Absentee by Mail - 53,30,15
ICC-Absentee by Mail - 54,26,16
ICC-Absentee by Mail - 55,20,29
ICC-Absentee by Mail - 56,21,29
ICC-Absentee by Mail - 57,20,19
ICC-Absentee by Mail - 58,19,13
ICC-Absentee by Mail - 59,16,11
ICC-Absentee by Mail - 60,32,18
ICC-Absentee by Mail - 61,18,9
ICC-Absentee by Mail - 62,16,11
ICC-Absentee by Mail - 63,17,14
ICC-Absentee by Mail - 64,15,7
ICC-Absentee by Mail - 65,8,15
ICC-Absentee by Mail - 66,11,10
ICC-Absentee by Mail - 67,32,16
ICC-Absentee by Mail - 68,10,24
ICC-Absentee by Mail - 69,23,8
ICC-Absentee by Mail - 70,8,7
ICC-Absentee by Mail - 71,10,11
ICC-Absentee by Mail - 72,12,12
ICC-Absentee by Mail - 73,15,2
ICC-Absentee by Mail - 74,3,16
ICC-Absentee by Mail - 75,18,18
ICC-Absentee by Mail - 76,8,10
ICC-Absentee by Mail - 77,13,9
ICC-Absentee by Mail - 78,9,11
ICC-Absentee by Mail - 79,13,4
ICC-Absentee by Mail - 80,31,17
ICC-Absentee by Mail - 81,30,20
ICC-Absentee by Mail - 82,31,25
ICC-Absentee by Mail - 83,27,31
ICC-Absentee by Mail - 84,35,29
ICC-Absentee by Mail - 85,37,19
ICC-Absentee by Mail - 86,29,27
ICC-Absentee by Mail - 87,37,22
ICC-Absentee by Mail - 88,32,24
ICC-Absentee by Mail - 89,34,22
ICC-Absentee by Mail - 90,33,33
ICC-Absentee by Mail - 91,43,27
ICC-Absentee by Mail - 92,37,21
ICC-Absentee by Mail - 93,32,29
ICC-Absentee by Mail - 94,36,25
ICC-Absentee by Mail - 95,18,19
ICC-Absentee by Mail - 96,32,34
ICC-Absentee by Mail - 97,19,40
ICC-Absentee by Mail - 98,39,21
ICC-Absentee by Mail - 99,28,26
AIP-NORTH HALL CC ICP1 - 0,3073,597
AIP-NORTH HALL CC ICP2 - 0,4003,828
AIP-SOUTH 2 MULLBERRY ICP1 - 0,2803,924
AIP-SOUTH 2 MULLBERRY ICP2 - 0,2828,898
AIP-MAIN NHOOD CTR ICP1 - 0,1734,1393
AIP-MAIN NHOOD CTR ICP2 - 0,1408,1335
AIP-EAST HALL CC ICP1 - 0,2079,757
AIP-SOUTH 1 SPOUT ICP1 - 0,3470,1543
AIP-SOUTH 1 SPOUT ICP2 - 0,3840,1650
ICC-Absentee by Mail - 100,16,15
ED-Glade  ICP 1 - 0,525,114
ED-Big Hickory  ICP 1 - 0,848,95
ED-West Whelchel  ICP 1 - 0,827,198
ED-Friendship III  ICP 1 - 0,543,161
ED-Lula  ICP 1 - 0,735,81
ED-Gainesville V  ICP 1 - 0,201,84
ED-Friendship II  ICP 1 - 0,639,165
ED-Oakwood I  ICP 1 - 0,311,224
ED-Flowery Branch II  ICP 1 - 0,631,226
