Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,9,41
ICC - Absentee By Mail - 2,10,40
ICC - Absentee By Mail - 3,6,44
ICC - Absentee By Mail - 4,6,44
ICC - Absentee By Mail - 5,0,4
AV-Elections Office ICP 1 - 0,169,322
AV-Elections Office ICP 2 - 0,166,323
ED-Junction City ICP 1 - 0,53,64
ED-Talbotton ICP 2 - 0,16,51
ED-Box Springs ICP 1 - 0,126,56
ED-ONeal ICP 1 - 0,93,61
ED-Valley ICP 2 - 0,14,9
ED-Geneva ICP 1 - 0,75,90
ED-Flint Hill ICP 1 - 0,57,65
ED-Talbotton ICP 1 - 0,31,144
ED-Flint Hill ICP 2 - 0,97,141
ED-Valley ICP 1 - 0,133,106
