Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,4457,1217
ICC - Absentee By Mail - 1,21,29
ICC - Absentee By Mail - 2,22,28
ICC - Absentee By Mail - 3,4,3
ICC - Absentee By Mail - 4,28,9
ICC - Absentee By Mail - 5,8,6
ICC - Absentee By Mail - 6,4,8
ICC - Absentee By Mail - 7,3,3
ICC - Absentee By Mail - 8,9,8
ICC - Absentee By Mail - 9,18,14
ICC - Absentee By Mail - 10,37,13
ICC - Absentee By Mail - 11,7,4
ICC - Absentee By Mail - 12,22,28
ED-Hinton ICP 1 - 0,355,29
ED-Ludville ICP 1 - 0,254,22
ED-Hill ICP 1 - 0,549,78
ED-Jerusalem ICP 1 - 0,517,42
ED-Talking Rock ICP 1 - 0,491,42
ED-Appalachian ICP 1 - 0,404,72
ED-Jasper ICP 1 - 0,459,110
ED-Tate ICP 1 - 0,640,69
ED-Sharptop ICP 1 - 0,661,159
ED-Yellow Creek ICP 1 - 0,909,155
ED-Refuge ICP 1 - 0,542,55
ED-Nelson ICP 1 - 0,441,58
ICC - Absentee By Mail - 13,24,26
ICC - Absentee By Mail - 14,2,0
ICC - Absentee By Mail - 15,17,23
ICC - Absentee By Mail - 16,34,16
ICC - Absentee By Mail - 17,6,4
ICC - Absentee By Mail - 18,31,16
ICC - Absentee By Mail - 19,3,1
ICC - Absentee By Mail - 20,5,6
ICC - Absentee By Mail - 21,0,1
ICC - Provisional - 1,1,0
ICC - Absentee By Mail - 22,1,0
ICC - Absentee By Mail - 23,0,1
