Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,4,21
ICC - Absentee by Mail - 2,4,21
ICC - Absentee by Mail - 3,1,24
ICC - Absentee by Mail - 4,5,20
ICC - Absentee by Mail - 5,4,21
ICC - Absentee by Mail - 6,5,20
ICC - Absentee by Mail - 7,3,22
ICC - Absentee by Mail - 8,2,23
ICC - Absentee by Mail - 9,5,20
ICC - Absentee by Mail - 10,4,21
ICC - Absentee by Mail - 11,3,22
ICC - Absentee by Mail - 12,2,23
ICC - Absentee by Mail - 13,1,24
ICC - Absentee by Mail - 14,2,24
ICC - Absentee by Mail - 15,5,20
AV-Elections Office - ICP 1 - 0,467,1163
ED-Devereux Fire ICP 1 - 0,133,111
ED-St Mark ICP 1 - 0,12,89
ED-Courthouse ICP 1 - 0,39,113
ED-Second Beulah ICP 1 - 0,12,76
ED-Second Darrien ICP 1 - 0,63,71
ED-Mayfield Community Center ICP 1 - 0,8,64
ED-Power of God ICP 1 - 0,30,116
ED-Warren Chapel ICP 1 - 0,45,16
ED-Youth Center ICP 1 - 0,34,138
ED-Sparta 4C ICP 1 - 0,10,15
ICC - Absentee by Mail - 16,1,23
ICC - Absentee by Mail - 17,3,22
ICC - Absentee by Mail - 18,2,13
ICC - Provisional - 1,1,0
