Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,33,17
ICC - Absentee By Mail - 2,31,19
ICC - Absentee By Mail - 3,30,20
ICC - Absentee By Mail - 4,37,13
ICC - Absentee By Mail - 5,27,23
ICC - Absentee By Mail - 6,32,18
ICC - Absentee By Mail - 7,36,14
ICC - Absentee By Mail - 8,29,21
ICC - Absentee By Mail - 9,28,21
ICC - Absentee By Mail - 10,33,17
ICC - Absentee By Mail - 11,39,11
ICC - Absentee By Mail - 12,35,15
ICC - Absentee By Mail - 13,36,14
ICC - Absentee By Mail - 14,26,13
ICC - Absentee By Mail - 15,38,12
ICC - Absentee By Mail - 16,25,25
ICC - Absentee By Mail - 17,8,1
ICC - Absentee By Mail - 18,7,6
AV-Elections Office ICP 1 - 0,3010,951
ED-Mobile ICP 1 - 0,395,44
ED-Morganton ICP 1 - 0,616,96
ED-Skeniah ICP 1 - 0,117,24
ED-Noontootla ICP 1 - 0,285,63
ED-Hemptown ICP 1 - 0,447,68
ED-Flinthill ICP 1 - 0,877,107
ED-Hothouse ICP 1 - 0,337,46
ED-Toccoa ICP 1 - 0,702,119
ED-Fairplay ICP 1 - 0,353,48
ED-Mineral Bluff ICP 1 - 0,543,63
ED-Sugar Creek ICP 1 - 0,527,71
ED-Colwell ICP 1 - 0,371,61
ICC - Absentee By Mail - 19,0,2
ICC - Provisional - 1,6,3
