Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Midway Park Comm Bldg ICP 3 - 0,1733,927
AV-Midway Park Comm Bldg ICP 1 - 0,2641,1577
AV-Elections Office ICP 2 - 0,3406,1537
AV-Hampton Park Library ICP 2 - 0,3380,1167
AV-Hampton Park Library ICP 1 - 0,3672,1252
AV-Elections Office ICP 1 - 0,3412,1544
AV-Elections Office ICP 3 - 0,2313,878
AV-Midway Park Comm Bldg ICP 2 - 0,2998,1924
AV-Sharon Springs Park Comm Bldg ICP 2 - 0,3289,2915
AV-Sharon Springs Park Comm Bldg ICP 1 - 0,3133,2672
AV-Sharon Springs Park Comm Bldg ICP 3 - 0,1649,1427
ED-42 Keith Bridge ICP 1 - 0,57,7
ED-42 Keith Bridge ICP 2 - 0,757,124
ED-38 Daves Creek ICP 1 - 0,463,271
ED-38 Daves Creek ICP 2 - 0,418,243
ED-44 Lanier ICP 2 - 0,399,91
ED-44 Lanier ICP 1 - 0,353,65
ICC - Absentee By Mail 1 - 99,7,18
ICC - Absentee By Mail 1 - 156,13,11
ICC - Absentee By Mail 1 - 155,13,12
ICC - Absentee By Mail 1 - 157,18,7
ICC - Absentee By Mail 1 - 154,12,13
ICC - Absentee By Mail 1 - 159,4,8
ICC - Absentee By Mail 1 - 158,14,10
ICC - Absentee By Mail 1 - 162,11,12
ICC - Absentee By Mail 1 - 161,16,9
ICC - Absentee By Mail 1 - 160,12,13
ICC - Absentee By Mail 1 - 16,16,9
ICC - Absentee By Mail 1 - 153,7,16
ICC - Absentee By Mail 1 - 152,11,14
ICC - Absentee By Mail 1 - 146,10,15
ICC - Absentee By Mail 1 - 145,8,17
ICC - Absentee By Mail 1 - 144,15,9
ICC - Absentee By Mail 1 - 143,15,10
ICC - Absentee By Mail 1 - 147,5,20
ICC - Absentee By Mail 1 - 148,9,16
ICC - Absentee By Mail 1 - 151,8,17
ICC - Absentee By Mail 1 - 150,16,9
ICC - Absentee By Mail 1 - 15,15,10
ICC - Absentee By Mail 1 - 149,8,17
ICC - Absentee By Mail 1 - 163,12,12
ICC - Absentee By Mail 1 - 164,10,14
ICC - Absentee By Mail 1 - 179,11,14
ICC - Absentee By Mail 1 - 178,12,13
ICC - Absentee By Mail 1 - 177,12,13
ICC - Absentee By Mail 1 - 176,15,10
ICC - Absentee By Mail 1 - 18,13,11
ICC - Absentee By Mail 1 - 180,11,13
ICC - Absentee By Mail 1 - 184,10,15
ICC - Absentee By Mail 1 - 183,9,16
ICC - Absentee By Mail 1 - 182,12,13
ICC - Absentee By Mail 1 - 181,10,15
ICC - Absentee By Mail 1 - 175,13,12
ICC - Absentee By Mail 1 - 174,12,13
ICC - Absentee By Mail 1 - 168,15,10
ICC - Absentee By Mail 1 - 167,8,17
ICC - Absentee By Mail 1 - 166,13,12
ICC - Absentee By Mail 1 - 165,8,17
ICC - Absentee By Mail 1 - 169,11,14
ICC - Absentee By Mail 1 - 17,16,9
ICC - Absentee By Mail 1 - 173,17,8
ICC - Absentee By Mail 1 - 172,12,13
ICC - Absentee By Mail 1 - 171,9,9
ICC - Absentee By Mail 1 - 170,9,16
ICC - Absentee By Mail 1 - 142,7,18
ICC - Absentee By Mail 1 - 141,13,11
ICC - Absentee By Mail 1 - 113,13,11
ICC - Absentee By Mail 1 - 112,15,10
ICC - Absentee By Mail 1 - 111,18,7
ICC - Absentee By Mail 1 - 110,19,6
ICC - Absentee By Mail 1 - 114,8,16
ICC - Absentee By Mail 1 - 115,7,18
ICC - Absentee By Mail 1 - 119,14,11
ICC - Absentee By Mail 1 - 118,10,15
ICC - Absentee By Mail 1 - 117,10,15
ICC - Absentee By Mail 1 - 116,7,18
ICC - Absentee By Mail 1 - 11,16,8
ICC - Absentee By Mail 1 - 109,11,14
ICC - Absentee By Mail 1 - 102,7,18
ICC - Absentee By Mail 1 - 101,7,18
ICC - Absentee By Mail 1 - 100,14,11
ICC - Absentee By Mail 1 - 10,12,13
ICC - Absentee By Mail 1 - 103,11,14
ICC - Absentee By Mail 1 - 104,15,10
ICC - Absentee By Mail 1 - 108,13,12
ICC - Absentee By Mail 1 - 107,12,13
ICC - Absentee By Mail 1 - 106,15,10
ICC - Absentee By Mail 1 - 105,14,11
ICC - Absentee By Mail 1 - 12,19,5
ICC - Absentee By Mail 1 - 120,9,16
ICC - Absentee By Mail 1 - 135,13,12
ICC - Absentee By Mail 1 - 134,9,16
ICC - Absentee By Mail 1 - 133,10,10
ICC - Absentee By Mail 1 - 132,11,14
ICC - Absentee By Mail 1 - 136,10,15
ICC - Absentee By Mail 1 - 137,14,11
ICC - Absentee By Mail 1 - 140,10,15
ICC - Absentee By Mail 1 - 14,9,16
ICC - Absentee By Mail 1 - 139,14,11
ICC - Absentee By Mail 1 - 138,8,17
ICC - Absentee By Mail 1 - 131,13,12
ICC - Absentee By Mail 1 - 130,8,17
ICC - Absentee By Mail 1 - 124,10,15
ICC - Absentee By Mail 1 - 123,13,12
ICC - Absentee By Mail 1 - 122,8,17
ICC - Absentee By Mail 1 - 121,6,19
ICC - Absentee By Mail 1 - 125,17,8
ICC - Absentee By Mail 1 - 126,12,13
ICC - Absentee By Mail 1 - 13,10,15
ICC - Absentee By Mail 1 - 129,10,15
ICC - Absentee By Mail 1 - 128,11,14
ICC - Absentee By Mail 1 - 127,12,13
ICC - Absentee By Mail 1 - 185,11,14
ICC - Absentee By Mail 1 - 186,10,15
ICC - Absentee By Mail 1 - 187,12,12
ICC - Absentee By Mail 1 - 70,14,11
ICC - Absentee By Mail 1 - 7,17,7
ICC - Absentee By Mail 1 - 69,16,9
ICC - Absentee By Mail 1 - 68,9,16
ICC - Absentee By Mail 1 - 71,16,9
ICC - Absentee By Mail 1 - 72,18,7
ICC - Absentee By Mail 1 - 76,8,17
ICC - Absentee By Mail 1 - 75,9,16
ICC - Absentee By Mail 1 - 74,9,16
ICC - Absentee By Mail 1 - 73,8,17
ICC - Absentee By Mail 1 - 67,16,8
ICC - Absentee By Mail 1 - 66,10,15
ICC - Absentee By Mail 1 - 6,2,23
ICC - Absentee By Mail 1 - 59,16,9
ICC - Absentee By Mail 1 - 58,15,10
ICC - Absentee By Mail 1 - 57,11,14
ICC - Absentee By Mail 1 - 60,16,9
ICC - Absentee By Mail 1 - 61,18,7
ICC - Absentee By Mail 1 - 65,10,15
