Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee By Mail - 1,4,4
ICC-Absentee By Mail - 2,33,17
AV-Elections Office ICP 1 - 0,1830,820
ICC-Absentee By Mail - 3,30,20
ICC-Absentee By Mail - 4,19,31
ICC-Absentee By Mail - 5,30,20
ED-Chauncey ICP 1 - 0,139,34
ED-Clark ICP 1 - 0,53,0
ED-Eddin ICP 1 - 0,214,77
ICC-Absentee By Mail - 6,34,16
ICC-Absentee By Mail - 7,34,16
ED-Empire ICP 1 - 0,152,13
ED-Jaybird ICP 1 - 0,57,29
ICC-Absentee By Mail - 8,22,28
ICC-Absentee By Mail - 9,10,4
ED-Jones ICP 1 - 0,128,19
ED-McCranie ICP 1 - 0,117,13
ED-Milan ICP 1 - 0,105,17
ED-Mitchell ICP 1 - 0,131,18
ED-Plainfield ICP 1 - 0,182,13
ED-Vilula ICP 1 - 0,92,3
ED-Yonker ICP 1 - 0,127,10
ED-Rawlins ICP 1 - 0,177,39
ED-Mullis ICP 1 - 0,191,44
ED-Pondtown ICP 1 - 0,230,48
ED-Lee ICP 1 - 0,492,266
ICC-Provisional - 1,1,1
