Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,12,38
ICC-Absentee by Mail - 2,18,32
ICC-Absentee by Mail - 3,30,20
ICC-Absentee by Mail - 4,18,32
ICC-Absentee by Mail - 5,11,27
AV-Elections Office ICP 1 - 0,1275,536
ED-Faith Temple of Lincoln ICP 1 - 0,114,33
ED-Tabernacle ICP 1 - 0,199,71
ED-Lincoln Center ICP 1 - 0,259,65
ED-Lincoln Club House ICP 1 - 0,129,98
ED-Midway ICP 1 - 0,147,34
ED-Bethany Church ICP 1 - 0,144,14
ED-Martins Crossroad ICP 1 - 0,302,43
ICC-Provisional - 2,2,0
