Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,14,36
ICC - Absentee By Mail - 2,16,30
ICC - Absentee By Mail - 3,22,28
ICC - Absentee By Mail - 4,25,25
ICC - Absentee By Mail - 5,16,34
ICC - Absentee By Mail - 6,15,35
ICC - Absentee By Mail - 7,7,43
ICC - Absentee By Mail - 8,30,20
ICC - Absentee By Mail - 9,28,22
ICC - Absentee By Mail - 10,18,32
ICC - Absentee By Mail - 11,22,28
ICC - Absentee By Mail - 12,10,40
ICC - Absentee By Mail - 13,20,30
ICC - Absentee By Mail - 14,12,37
ICC - Absentee By Mail - 15,12,40
ICC - Absentee By Mail - 16,8,41
ICC - Absentee By Mail - 17,13,37
ICC - Absentee By Mail - 18,15,35
ICC - Absentee By Mail - 19,20,29
ICC - Absentee By Mail - 20,26,23
ICC - Absentee By Mail - 21,16,32
ICC - Absentee By Mail - 22,19,31
ICC - Absentee By Mail - 23,18,31
ICC - Absentee By Mail - 24,20,30
ICC - Absentee By Mail - 25,27,24
ICC - Absentee By Mail - 26,19,31
ICC - Absentee By Mail - 27,20,30
ICC - Absentee By Mail - 28,15,35
ICC - Absentee By Mail - 29,18,25
ICC - Absentee By Mail - 30,15,35
ICC - Absentee By Mail - 31,31,19
ICC - Absentee By Mail - 32,21,29
ICC - Absentee By Mail - 33,27,23
ICC - Absentee By Mail - 34,17,33
ICC - Absentee By Mail - 35,16,34
ICC - Absentee By Mail - 36,33,17
ICC - Absentee By Mail - 37,22,28
ICC - Absentee By Mail - 38,14,34
ICC - Absentee By Mail - 39,16,27
ICC - Absentee By Mail - 40,3,10
ICC - Absentee By Mail - 41,24,74
ICC - Absentee By Mail - 42,16,34
ICC - Absentee By Mail - 43,25,27
ICC - Absentee By Mail - 44,29,21
ICC - Absentee By Mail - 45,13,35
ICC - Absentee By Mail - 46,28,22
ICC - Absentee By Mail - 47,19,31
ICC - Absentee By Mail - 48,11,39
ICC - Absentee By Mail - 49,25,25
ICC - Absentee By Mail - 50,16,34
ICC - Absentee By Mail - 51,29,17
ICC - Absentee By Mail - 52,11,37
ICC - Absentee By Mail - 53,17,11
ICC - Absentee By Mail - 54,10,15
ICC - Absentee By Mail - 55,13,12
ICC - Absentee By Mail - 56,12,13
ICC - Absentee By Mail - 57,13,13
ICC - Absentee By Mail - 58,0,3
ICC - Absentee By Mail - 59,5,8
ICC - Absentee By Mail - 60,5,7
AV-Tyrone Rec Office ICP 1 - 0,2560,2830
AV-Elections Office ICP 1 - 0,1721,4746
AV-Fayette Public Library ICP 1 - 0,1588,3258
AV-Peachtree City Library ICP 1 - 0,3906,3289
ED-Hopeful ICP 1 - 0,280,364
ED-Fayetteville East ICP 1 - 0,178,244
ED-Whitewater ICP 1 - 0,841,309
ED-Jeff Davis ICP 1 - 0,191,359
ED-Spring Hill ICP 1 - 0,334,387
ED-McIntosh ICP 1 - 0,661,301
ED-Fayetteville West ICP 1 - 0,234,273
ED-Kenwood ICP 1 - 0,68,240
ED-Morning Creek ICP 1 - 0,327,462
ED-Woolsey ICP 1 - 0,900,199
ED-Banks ICP 1 - 0,208,254
ED-Aberdeen ICP 1 - 0,373,182
ED-Dogwood ICP 1 - 0,624,306
ED-Antioch ICP 1 - 0,449,237
ED-Flint ICP 1 - 0,211,295
ED-Willow Pond ICP 1 - 0,458,420
ED-Fielding Ridge ICP 1 - 0,737,355
ED-Flat Creek ICP 1 - 0,361,216
ED-Oak Grove ICP 1 - 0,302,206
ED-Europe ICP 1 - 0,106,667
ED-Murphy ICP 1 - 0,491,413
ED-Windgate ICP 1 - 0,250,126
ED-Shakerag West ICP 1 - 0,224,116
ED-Rareover ICP 1 - 0,490,223
ED-Rising Star ICP 1 - 0,858,307
ED-Sandy Creek ICP 1 - 0,456,593
ED-Starrsmill ICP 1 - 0,1000,247
ED-Willowbend ICP 1 - 0,406,181
ED-Brooks ICP 1 - 0,1197,137
ED-Shakerag East ICP 1 - 0,372,211
ED-Harps Crossing ICP 1 - 0,382,220
ED-Camp Creek ICP 1 - 0,397,182
ED-Kedron ICP 1 - 0,868,583
ED-Blackrock ICP 1 - 0,204,422
ED-Oak Ridge ICP 1 - 0,279,350
ED-Braelinn ICP 1 - 0,510,177
ICC - Absentee By Mail - 61,0,4
ICC - Absentee By Mail - 62,0,1
ICC - Provisional - 1,12,11
