Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Mauney Srvc Building ICP 1 - 0,913,311
AV-Mauney Srvc Building ICP 2 - 0,3114,693
ED-White Creek ICP 1 - 0,537,34
ED-Nacoochee ICP 1 - 0,338,104
ED-Mossy Creek ICP 1 - 0,900,91
ED-Blue Creek ICP 1 - 0,564,94
ED-Mt Yonah ICP 1 - 0,830,132
ED-Town Creek ICP 1 - 0,389,47
ED-Tesnatee ICP 1 - 0,300,38
ED-Robertstown-Helen ICP 1 - 0,215,52
ED-Shoal Creek ICP 1 - 0,643,59
ED-Blue Ridge ICP 1 - 0,263,32
ICC-Absentee by Mail - 14,3,2
ICC-Absentee by Mail - 9,16,8
ICC-Absentee by Mail - 13,22,14
ICC-Absentee by Mail - 12,41,9
ICC-Absentee by Mail - 11,31,19
ICC-Absentee by Mail - 3,39,11
ICC-Absentee by Mail - 2,34,15
ICC-Absentee by Mail - 8,32,18
ICC-Absentee by Mail - 10,33,17
ICC-Absentee by Mail - 7,29,21
ICC-Absentee by Mail - 6,31,19
ICC-Absentee by Mail - 5,33,17
ICC-Absentee by Mail - 4,30,20
ICC-Absentee by Mail - 1,34,16
ICC-Absentee by Mail - 15,4,4
ICC-Election Day - 1,1,0
ICC-Provisional - 1,3,2
ICC-Absentee by Mail - 16,0,1
