Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,46,17
ICC-Absentee by Mail - 25,32,11
ICC-Absentee by Mail - 24,18,13
ICC-Absentee by Mail - 23,23,9
ICC-Absentee by Mail - 22,20,14
ICC-Absentee by Mail - 3,10,3
ICC-Absentee by Mail - 4,9,5
ICC-Absentee by Mail - 8,31,15
ICC-Absentee by Mail - 7,36,10
ICC-Absentee by Mail - 6,20,15
ICC-Absentee by Mail - 5,22,24
ICC-Absentee by Mail - 21,4,1
ICC-Absentee by Mail - 20,33,15
ICC-Absentee by Mail - 2,4,8
ICC-Absentee by Mail - 13,24,14
ICC-Absentee by Mail - 12,19,12
ICC-Absentee by Mail - 11,36,11
ICC-Absentee by Mail - 10,23,12
ICC-Absentee by Mail - 14,13,5
ICC-Absentee by Mail - 15,3,1
ICC-Absentee by Mail - 19,28,15
ICC-Absentee by Mail - 18,17,20
ICC-Absentee by Mail - 17,23,17
ICC-Absentee by Mail - 16,39,11
ICC-Absentee by Mail - 9,26,14
AV-Ruby Fulbright Aquatic Ctr ICP 2 - 0,4185,925
AV-Ruby Fulbright Aquatic Ctr ICP 1 - 0,3453,804
ED-Demorest ICP 1 - 0,725,94
ED-Habersham South ICP 2 - 0,389,106
ED-Habersham South ICP 1 - 0,589,150
ED-Amys Creek ICP 1 - 0,372,59
ED-Town of Mount Airy ICP 1 - 0,176,29
ED-Mud Creek ICP 1 - 0,947,69
ED-Habersham North ICP 2 - 0,709,95
ED-Habersham North ICP 1 - 0,554,80
ICC-Absentee by Mail - 26,4,11
ICC-Provisional - 1,6,1
