Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 9,13,12
ICC-Absentee by Mail - 14,13,12
ICC-Absentee by Mail - 13,13,12
ICC-Absentee by Mail - 12,17,8
ICC-Absentee by Mail - 15,9,15
ICC-Absentee by Mail - 16,8,14
ICC-Absentee by Mail - 7,16,9
ICC-Absentee by Mail - 11,16,9
ICC-Absentee by Mail - 10,14,11
ICC-Absentee by Mail - 2,10,15
ICC-Absentee by Mail - 6,17,8
ICC-Absentee by Mail - 5,14,11
ICC-Absentee by Mail - 8,15,10
ICC-Absentee by Mail - 3,17,7
ICC-Absentee by Mail - 4,15,10
ICC-Absentee by Mail - 1,16,9
AV-Elections Office ICP 1 - 0,3684,1269
ED-Goldmine ICP 1 - 0,540,84
ED-Bio ICP 1 - 0,353,63
ED-Bowersville ICP 1 - 0,444,74
ED-Cokesbury ICP 1 - 0,191,102
ED-Hartwell ICP 1 - 0,421,148
ED-Hartwell ICP 2 - 0,434,133
ED-Reed Creek ICP 1 - 0,728,136
ED-Shoal Creek ICP 1 - 0,487,89
ICC-Absentee by Mail - 17,1,1
ICC-Provisional - 1,1,0
