Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,22,60
ICC-Absentee by Mail - 2,30,40
ICC-Absentee by Mail - 3,17,46
ICC-Absentee by Mail - 4,17,82
ICC-Absentee by Mail - 5,12,75
ICC-Absentee by Mail - 6,19,70
ICC-Absentee by Mail - 7,3,34
ICC-Absentee by Mail - 8,31,46
ICC-Absentee by Mail - 9,8,46
ICC-Absentee by Mail - 10,14,58
ICC-Absentee by Mail - 11,13,81
ICC-Absentee by Mail - 12,21,65
ICC-Absentee by Mail - 13,9,62
ICC-Absentee by Mail - 14,25,75
ICC-Absentee by Mail - 15,26,36
ICC-Absentee by Mail - 16,2,24
ICC-Absentee by Mail - 17,0,5
ICC-Absentee by Mail - 18,26,62
ICC-Absentee by Mail - 19,8,92
ICC-Absentee by Mail - 20,28,62
ICC-Absentee by Mail - 21,21,49
ICC-Absentee by Mail - 22,7,87
ICC-Absentee by Mail - 23,18,67
ICC-Absentee by Mail - 24,13,21
ICC-Absentee by Mail - 25,5,25
AV-Main ICP 3 - 0,995,2336
AV-Main ICP 2 - 0,1138,6149
AV-Main ICP 4 - 0,1203,6508
ED-FI ICP 1 - 0,98,697
ED-CO ICP 1 - 0,138,479
ED-RO ICP 1 - 0,232,500
ED-ST ICP 1 - 0,223,308
ED-SM ICP 1 - 0,225,531
ED-LA ICP 1 - 0,105,215
ED-HI ICP 1 - 0,275,405
ED-MI ICP 1 - 0,121,462
ED-FS ICP 1 - 0,132,468
ED-MA ICP 1 - 0,355,341
ED-BT ICP 1 - 0,692,297
ED-SP ICP 1 - 0,158,595
ED-OT ICP 1 - 0,97,741
ED-HC ICP 1 - 0,240,321
ED-BA ICP 1 - 0,397,634
ED-LO ICP 1 - 0,529,499
ICC-Absentee by Mail - 26,1,9
ICC-Provisional - 1,3,11
ICC-Absentee by Mail - 27,0,1
