Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,3257,1416
ED-Murphy ICP 1 - 0,312,20
ED-Funston ICP 1 - 0,324,30
ED-Warrior ICP 1 - 0,343,33
ED-Lee ICP 1 - 0,253,19
ED-Bridgecreek ICP 1 - 0,314,20
ED-Thigpen ICP 1 - 0,91,12
ED-TyTy ICP 1 - 0,227,6
ED-Norman Park ICP 1 - 0,487,96
ED-Hartsfield ICP 1 - 0,203,9
ED-Hamilton ICP 1 - 0,280,19
ED-Autreyville ICP 1 - 0,350,40
ED-Shaw ICP 1 - 0,70,351
ED-Hopewell ICP 1 - 0,361,46
ED-Millcreek ICP 1 - 0,130,12
ED-Doerun ICP 1 - 0,166,87
ED-Monk ICP 1 - 0,384,40
ED-Robinson ICP 1 - 0,265,33
ED-Moultrie ICP 1 - 0,528,276
Absentee By Mail ICC - 1,55,45
Absentee By Mail ICC - 2,40,60
Absentee By Mail ICC - 3,60,40
Absentee By Mail ICC - 4,60,40
Absentee By Mail ICC - 5,21,16
ED-Crosland ICP 1 - 0,93,24
Provisional ICC - 1,4,1
