Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,28,22
ICC-Absentee by Mail - 2,14,36
ICC-Absentee by Mail - 3,24,26
ICC-Absentee by Mail - 4,16,34
ICC-Absentee by Mail - 5,18,32
ICC-Absentee by Mail - 6,22,28
ICC-Absentee by Mail - 7,30,20
ICC-Absentee by Mail - 8,22,28
ICC-Absentee by Mail - 9,37,13
ICC-Absentee by Mail - 10,28,22
ICC-Absentee by Mail - 11,35,15
ICC-Absentee by Mail - 12,21,29
AV-Elections Office ICP 1 - 0,3050,1335
ICC-Absentee by Mail - 13,18,11
ED-101 ICP 1 - 0,391,279
ED-106 ICP 1 - 0,458,74
ICC-Election Day - 1,39,41
ICC-Election Day - 2,42,37
ICC-Election Day - 3,35,36
ICC-Election Day - 4,59,26
ICC-Election Day - 5,50,36
ICC-Election Day - 6,45,40
ICC-Election Day - 7,66,42
ICC-Election Day - 8,46,44
ICC-Election Day - 9,47,37
ED-105 ICP 1 - 0,963,176
ED-107 ICP 1 - 0,985,171
ICC-Absentee by Mail - 14,5,6
