Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Eastside ICP 1 - 0,5284,3008
AV-Voter Registration Office ICP 1 - 0,2912,3450
ED-Panther Creek ICP 1 - 0,952,266
ED-Greentop ICP 1 - 0,645,349
ED-Grantville ICP 1 - 0,675,306
ED-White Oak ICP 1 - 0,1143,357
ED-Westside ICP 1 - 0,85,203
ED-Dresden ICP 1 - 0,382,52
ED-Smokey Road ICP 1 - 0,491,354
ED-Newnan ICP 1 - 0,403,526
ED-Expo Center ICP 1 - 0,597,258
ED-Turin ICP 1 - 0,1698,322
ED-Raymond ICP 1 - 0,908,187
ED-Central ICP 1 - 0,342,627
ICC - Absentee By Mail - 31,35,40
ICC - Absentee By Mail - 32,37,38
ICC - Absentee By Mail - 33,29,46
ICC - Absentee By Mail - 34,39,36
ICC - Absentee By Mail - 35,38,34
ICC - Absentee By Mail - 36,54,30
ICC - Absentee By Mail - 37,33,48
ICC - Absentee By Mail - 38,33,52
ICC - Absentee By Mail - 39,7,4
ICC - Absentee By Mail - 40,14,36
ICC - Absentee By Mail - 41,3,2
ICC - Absentee By Mail - 42,2,8
ICC - Absentee By Mail - 6,35,38
ICC - Absentee By Mail - 7,35,40
ICC - Absentee By Mail - 8,44,31
ICC - Absentee By Mail - 5,38,37
ICC - Absentee By Mail - 9,27,48
ICC - Absentee By Mail - 4,40,35
ICC - Absentee By Mail - 29,38,35
ICC - Absentee By Mail - 3,35,40
ICC - Absentee By Mail - 30,31,50
ICC - Absentee By Mail - 28,39,36
ICC - Absentee By Mail - 26,35,40
ICC - Absentee By Mail - 27,38,37
ICC - Absentee By Mail - 25,28,46
ICC - Absentee By Mail - 24,39,36
ICC - Absentee By Mail - 23,29,46
ICC - Absentee By Mail - 22,34,41
ICC - Absentee By Mail - 21,37,38
ICC - Absentee By Mail - 20,33,42
ICC - Absentee By Mail - 2,32,43
ICC - Absentee By Mail - 19,38,36
ICC - Absentee By Mail - 18,47,28
ICC - Absentee By Mail - 17,40,35
ICC - Absentee By Mail - 16,43,32
ICC - Absentee By Mail - 15,37,38
ICC - Absentee By Mail - 14,25,50
ICC - Absentee By Mail - 13,43,32
ICC - Absentee By Mail - 12,35,40
ICC - Absentee By Mail - 11,18,57
ICC - Absentee By Mail - 10,38,37
ICC - Absentee By Mail - 1,24,51
ED-Fischer Road ICP 1 - 0,1227,377
ED-Welcome ICP 1 - 0,1149,255
ED-Thomas Crossroads ICP 1 - 0,1404,400
ED-Pine Road ICP 1 - 0,900,155
ED-Coweta Central Library ICP 1 - 0,597,130
ED-Sharpsburg ICP 1 - 0,1426,320
ED-Moreland ICP 1 - 0,1117,190
ED-Cannongate ICP 1 - 0,1218,339
ED-Haralson ICP 1 - 0,972,158
ED-Northside ICP 1 - 0,644,348
ED-Senoia ICP 1 - 0,1830,507
ED-Newnan Centre ICP 1 - 0,1158,850
ED-Newnan Centre ICP 2 - 0,1210,881
ED-Madras ICP 1 - 0,1223,392
ED-Madras ICP 2 - 0,1127,349
ICC - Absentee By Mail - 43,8,5
ICC - Absentee By Mail - 44,1,4
ICC - Provisional - 1,3,6
