Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,0,8
ICC - Absentee by Mail - 2,1,19
ICC - Absentee by Mail - 3,0,20
ICC - Absentee by Mail - 4,3,17
ICC - Absentee by Mail - 5,5,15
ICC - Absentee by Mail - 6,1,19
ICC - Absentee by Mail - 7,5,15
ICC - Absentee by Mail - 8,7,13
ICC - Absentee by Mail - 9,7,13
ICC - Absentee by Mail - 10,2,18
ICC - Absentee by Mail - 11,2,18
ICC - Absentee by Mail - 12,3,17
ICC - Absentee by Mail - 13,5,15
ICC - Absentee by Mail - 14,4,16
ICC - Absentee by Mail - 15,1,19
ICC - Absentee by Mail - 16,1,19
ICC - Absentee by Mail - 17,3,5
AV-Elections Office - ICP 1 - 0,592,622
ED-ShadyGroveTarvers ICP 1 - 0,146,93
ED-JeffersonWare ICP 1 - 0,160,171
ED-Dry Branch ICP 1 - 0,390,71
ED-Higgsville ICP 1 - 0,205,60
ED-Golden Isles ICP 1 - 0,255,300
ICC - Provisional - 1,1,0
