Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Advance Voting - 1,11,14
ICC-Advance Voting - 2,21,4
ICC-Advance Voting - 3,14,11
ICC-Advance Voting - 4,13,12
ICC-Advance Voting - 5,17,8
ICC-Advance Voting - 6,19,6
ICC-Advance Voting - 7,21,4
ICC-Advance Voting - 8,18,7
ICC-Advance Voting - 9,17,8
ICC-Advance Voting - 10,16,9
ICC-Advance Voting - 11,13,12
ICC-Advance Voting - 12,13,12
ICC-Advance Voting - 13,22,3
ICC-Advance Voting - 14,14,11
ICC-Advance Voting - 15,19,6
ICC-Advance Voting - 16,19,6
ICC-Advance Voting - 17,21,4
ICC-Advance Voting - 18,17,8
ICC-Advance Voting - 19,18,7
ICC-Advance Voting - 20,17,8
ICC-Advance Voting - 21,18,7
ICC-Advance Voting - 22,19,6
ICC-Advance Voting - 23,16,9
ICC-Advance Voting - 24,18,7
ICC-Advance Voting - 25,15,10
ICC-Advance Voting - 26,21,4
ICC-Advance Voting - 27,17,8
ICC-Advance Voting - 28,18,7
ICC-Advance Voting - 29,17,8
ICC-Advance Voting - 30,17,8
ICC-Advance Voting - 31,17,8
ICC-Advance Voting - 32,16,9
ICC-Advance Voting - 33,18,7
ICC-Advance Voting - 34,16,9
ICC-Advance Voting - 35,15,10
ICC-Advance Voting - 36,18,7
ICC-Advance Voting - 37,16,9
ICC-Advance Voting - 38,16,9
ICC-Advance Voting - 39,17,8
ICC-Advance Voting - 40,19,6
ICC-Advance Voting - 41,14,11
ICC-Advance Voting - 42,16,9
ICC-Advance Voting - 43,16,9
ICC-Advance Voting - 44,17,8
ICC-Advance Voting - 45,19,6
ICC-Advance Voting - 46,15,10
ICC-Advance Voting - 47,13,12
ICC-Advance Voting - 48,16,9
ICC-Advance Voting - 49,16,9
ICC-Advance Voting - 50,14,11
ICC-Advance Voting - 51,16,9
ICC-Advance Voting - 52,14,11
ICC-Advance Voting - 53,17,8
ICC-Advance Voting - 54,17,8
ICC-Advance Voting - 55,17,8
ICC-Advance Voting - 56,17,8
ICC-Advance Voting - 57,17,8
ICC-Advance Voting - 58,15,10
ICC-Advance Voting - 59,16,9
ICC-Advance Voting - 60,16,9
ICC-Advance Voting - 61,14,11
ICC-Advance Voting - 62,11,14
ICC-Advance Voting - 63,18,7
ICC-Advance Voting - 64,19,6
ICC-Advance Voting - 65,15,10
ICC-Advance Voting - 66,18,7
ICC-Advance Voting - 67,19,6
ICC-Advance Voting - 68,13,12
ICC-Advance Voting - 69,16,9
ICC-Advance Voting - 70,14,11
ICC-Advance Voting - 71,18,7
ICC-Advance Voting - 72,15,10
ICC-Advance Voting - 73,18,7
ICC-Advance Voting - 74,15,10
ICC-Advance Voting - 75,17,8
ICC-Advance Voting - 76,13,12
ICC-Advance Voting - 77,17,8
ICC-Advance Voting - 78,6,5
ICC-Absentee by Mail - 1,7,18
ICC-Absentee by Mail - 2,8,17
ICC-Absentee by Mail - 3,6,19
ICC-Absentee by Mail - 4,4,21
ICC-Absentee by Mail - 5,7,17
ICC-Absentee by Mail - 6,3,22
ICC-Absentee by Mail - 7,4,15
ICC-Absentee by Mail - 8,3,13
ICC-Absentee by Mail - 9,6,9
ICC-Absentee by Mail - 10,16,9
ICC-Absentee by Mail - 11,17,8
ICC-Absentee by Mail - 12,16,9
ICC-Absentee by Mail - 13,15,10
ICC-Absentee by Mail - 14,18,7
ICC-Absentee by Mail - 15,15,10
ICC-Absentee by Mail - 16,16,9
ICC-Absentee by Mail - 17,15,10
ICC-Absentee by Mail - 18,15,10
ICC-Absentee by Mail - 19,12,13
ICC-Absentee by Mail - 20,11,14
ICC-Absentee by Mail - 21,13,12
ICC-Absentee by Mail - 22,12,12
ICC-Absentee by Mail - 23,9,11
ICC-Absentee by Mail - 24,3,0
ICC-Absentee by Mail - 25,3,6
ICC-Absentee by Mail - 26,11,14
ICC-Absentee by Mail - 27,14,11
ICC-Absentee by Mail - 28,4,2
ICC-Absentee by Mail - 29,1,5
AV-Elections Office ICP 1 - 0,667,346
AV-Elections Office ICP 2 - 0,2023,937
ED-Greensboro ICP 1 - 0,149,216
ED-Greensboro ICP 2 - 0,188,160
"ED-Siloam, White Plains ICP 1 - 0",190,199
ED-Union Point ICP 1 - 0,224,282
ED-Old Salem ICP 1 - 0,632,136
ED-Old Salem ICP 2 - 0,642,131
ICC-Absentee by Mail - 30,0,2
ICC-Absentee by Mail - 31,1,1
