Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,10,40
ICC - Absentee By Mail - 2,8,42
ICC - Absentee By Mail - 3,8,41
ICC - Absentee By Mail - 4,15,34
ICC - Absentee By Mail - 5,11,39
ICC - Absentee By Mail - 6,8,42
ICC - Absentee By Mail - 7,10,40
ICC - Absentee By Mail - 8,9,41
ICC - Absentee By Mail - 9,12,38
ICC - Absentee By Mail - 10,3,47
ICC - Absentee By Mail - 11,11,39
ICC - Absentee By Mail - 12,17,33
ICC - Absentee By Mail - 13,4,11
ICC - Absentee By Mail - 14,2,9
AV-Elections Office ICP 1 - 0,1711,2354
ICC - Absentee By Mail - 15,17,43
ICC - Absentee By Mail - 16,15,54
ICC - Absentee By Mail - 17,2,0
ED-Plains ICP 1 - 0,207,181
ED-Andersonville ICP 1 - 0,156,24
ED-Rec Dept ICP 1 - 0,72,309
ED-Airport ICP 1 - 0,269,141
ED-Rees Park ICP 1 - 0,91,334
ED-Thompson ICP 1 - 0,113,73
ED-JROTC ICP 1 - 0,298,266
ED-Browns Mill ICP 1 - 0,269,70
ED-Concord ICP 1 - 0,168,10
ED-Leslie ICP 1 - 0,416,132
ED-Agri-Center ICP 1 - 0,271,160
ICC - Absentee By Mail - 18,0,2
