Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee By Mail - 1,39,61
ICC-Absentee By Mail - 2,35,65
ICC-Absentee By Mail - 3,53,47
ICC-Absentee By Mail - 4,34,66
ICC-Absentee By Mail - 5,35,62
ICC-Absentee By Mail - 6,43,51
ICC-Absentee By Mail - 7,39,61
ICC-Absentee By Mail 2 - 1,46,54
ICC-Absentee By Mail 2 - 2,36,64
ICC-Absentee By Mail 2 - 3,38,62
ICC-Absentee By Mail 2 - 4,35,65
ICC-Absentee By Mail 2 - 5,49,51
ICC-Absentee By Mail 2 - 6,48,52
ICC-Absentee By Mail 2 - 7,44,54
ICC-Absentee By Mail 2 - 8,41,73
ICC-Absentee By Mail - 8,18,57
ICC-Absentee By Mail - 9,37,63
ICC-Absentee By Mail - 10,39,61
ICC-Absentee By Mail - 11,47,53
ICC-Absentee By Mail - 12,34,66
ICC-Absentee By Mail - 13,35,65
ICC-Absentee By Mail - 14,48,52
ICC-Absentee By Mail - 15,45,54
ICC-Absentee By Mail - 16,41,59
AV-Houston Health Pav Conf Ctr ICP 1 - 0,1461,1742
AV-North Houston Sports Complex ICP 2 - 0,581,1104
AV-Main Board of Elections ICP 1 - 0,2254,1311
AV-Central GA Tech College ICP 1 - 0,3127,2382
AV-Central GA Tech College ICP 2 - 0,2335,1993
AV-Main Board of Elections ICP 2 - 0,2347,1426
AV-North Houston Sports Complex ICP 1 - 0,1511,2431
AV-Houston Health Pav Conf Ctr ICP 2 - 0,1730,2164
ICC-Absentee By Mail 2 - 9,28,72
ICC-Absentee By Mail 2 - 10,40,60
ICC-Absentee By Mail 2 - 11,34,65
ICC-Absentee By Mail 2 - 12,53,47
ICC-Absentee By Mail 2 - 13,45,78
ICC-Absentee By Mail 2 - 14,15,31
ICC-Absentee By Mail 2 - 15,11,16
ICC-Absentee By Mail 2 - 16,19,46
ICC-Absentee By Mail 2 - 17,12,11
ICC-Absentee By Mail 2 - 18,0,2
ED-HCTC ICP 1 - 0,466,528
ED-HAFS ICP 1 - 0,649,94
ED-VHS ICP 1 - 0,1145,477
ED-CENT ICP 1 - 0,1015,679
ED-CGTC ICP 1 - 0,642,305
ED-ANNX ICP 1 - 0,588,270
ED-TWPK ICP 1 - 0,622,413
ED-FMMS ICP 1 - 0,443,361
ED-FMMS ICP 2 - 0,680,469
ED-ROZR ICP 1 - 0,875,475
ED-ROZR ICP 2 - 0,776,338
ED-NHSC ICP 1 - 0,299,108
ED-TMS ICP 1 - 0,438,550
ED-HEFS ICP 1 - 0,378,147
ED-MCMS ICP 1 - 0,549,225
ED-MCMS ICP 2 - 0,870,406
ED-BMS ICP 1 - 0,1037,421
ED-BMS ICP 2 - 0,507,229
ED-WELL ICP 1 - 0,110,423
ED-WELL ICP 2 - 0,112,549
ED-HHPC ICP 1 - 0,405,423
ICC-Election Day - 1,45,74
ICC-Election Day - 2,54,54
ICC-Election Day - 3,64,61
ICC-Election Day - 4,53,57
ICC-Election Day - 5,45,61
ICC-Provisional - 1,5,2
ICC-Absentee By Mail - 17,3,7
