Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office ICP 1 - 0,3943,2170
ED-Pine Mountain Valley ICP 1 - 0,391,43
ED-Ellerslie ICP 1 - 0,1096,296
ED-Hamilton ICP 1 - 0,470,175
ED-Whitesville ICP 1 - 0,386,113
ED-Waverly Hall ICP 1 - 0,679,271
ED-Skinner ICP 1 - 0,279,160
ED-Cataula ICP 1 - 0,809,168
ED-Goodman ICP 1 - 0,331,184
ED-Valley Plains ICP 1 - 0,224,86
ED-Upper 19th ICP 1 - 0,526,80
ED-Mulberry Grove ICP 1 - 0,786,130
ED-Lower 19th ICP 1 - 0,816,152
ICC - Absentee By Mail - 1,13,12
ICC - Absentee By Mail - 2,17,7
ICC - Absentee By Mail - 3,15,10
ICC - Absentee By Mail - 4,15,10
ICC - Absentee By Mail - 5,14,11
ICC - Absentee By Mail - 6,10,15
ICC - Absentee By Mail - 7,13,12
ICC - Absentee By Mail - 8,17,8
ICC - Absentee By Mail - 9,12,13
ICC - Absentee By Mail - 10,16,9
ICC - Absentee By Mail - 11,17,8
ICC - Absentee By Mail - 12,9,16
ICC - Absentee By Mail - 13,12,13
ICC - Absentee By Mail - 14,16,9
ICC - Absentee By Mail - 15,11,14
ICC - Absentee By Mail - 16,12,13
ICC - Absentee By Mail - 17,13,12
ICC - Absentee By Mail - 18,14,11
ICC - Absentee By Mail - 19,14,11
ICC - Absentee By Mail - 20,12,13
ICC - Absentee By Mail - 21,10,15
ICC - Absentee By Mail - 22,16,9
ICC - Absentee By Mail - 23,12,13
ICC - Absentee By Mail - 24,11,14
ICC - Absentee By Mail - 25,10,14
ICC - Absentee By Mail - 26,9,15
ICC - Absentee By Mail - 27,18,6
ICC - Absentee By Mail - 28,9,13
ICC - Absentee By Mail - 29,10,14
ICC - Absentee By Mail - 30,14,8
ICC - Absentee By Mail - 31,9,14
ICC - Provisional - 1,5,1
ICC - Absentee By Mail - 33,0,2
