Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee by Mail - 1,25,25
ICC - Absentee by Mail - 2,14,36
ICC - Absentee by Mail - 3,11,39
ICC - Absentee by Mail - 4,14,36
ICC - Absentee by Mail - 5,19,31
ICC - Absentee by Mail - 6,17,33
ICC - Absentee by Mail - 7,13,37
ICC - Absentee by Mail - 8,10,40
ICC - Absentee by Mail - 9,18,32
ICC - Absentee by Mail - 10,19,31
ICC - Absentee by Mail - 11,16,34
ICC - Absentee by Mail - 12,16,33
ICC - Absentee by Mail - 13,21,29
ICC - Absentee by Mail - 14,12,38
ICC - Absentee by Mail - 15,14,36
ICC - Absentee by Mail - 16,14,36
ICC - Absentee by Mail - 17,18,31
ICC - Absentee by Mail - 18,12,27
AV-Elections Office - ICP 1 - 0,2011,2441
AV-Elections Office - ICP 2 - 0,1634,1639
ED-N Milledgeville ICP 1 - 0,208,219
ED-W Baldwin ICP 1 - 0,278,159
ED-Meriwether ICP 1 - 0,427,206
ED-Coopers ICP 1 - 0,380,99
ED-Boddie ICP 1 - 0,33,124
ED-W Hardwick ICP 1 - 0,109,378
ED-S Milledgeville ICP 1 - 0,36,136
ED-W Thomas ICP 1 - 0,38,159
ED-N Baldwin ICP 1 - 0,599,155
ED-Scottboro ICP 1 - 0,202,80
ED-Courthouse ICP 1 - 0,26,21
ED-E Baldwin ICP 1 - 0,507,327
ED-City Hall Annex ICP 1 - 0,32,89
ED-E Hardwick ICP 1 - 0,51,171
