Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,28,22
ICC - Absentee By Mail - 2,32,18
ICC - Absentee By Mail - 3,29,21
ICC - Absentee By Mail - 4,13,37
ICC - Absentee By Mail - 5,11,39
ICC - Absentee By Mail - 6,26,24
ICC - Absentee By Mail - 7,19,31
ICC - Absentee By Mail - 8,19,31
ICC - Absentee By Mail - 9,12,38
ICC - Absentee By Mail - 10,22,28
ICC - Absentee By Mail - 11,28,22
ICC - Absentee By Mail - 12,20,30
ICC - Absentee By Mail - 13,13,37
ICC - Absentee By Mail - 14,15,35
ICC - Absentee By Mail - 15,25,25
ICC - Absentee By Mail - 16,31,19
ICC - Absentee By Mail - 17,6,44
ICC - Absentee By Mail - 18,20,30
ICC - Absentee By Mail - 19,22,28
ICC - Absentee By Mail - 20,28,22
ICC - Absentee By Mail - 21,20,30
ICC - Absentee By Mail - 22,29,9
ICC - Absentee By Mail - 23,6,16
AV-County Gvmt Center ICP 1 - 0,4887,3882
ICC - Absentee By Mail - 24,10,14
ED-Northside ICP 1 - 0,326,253
ED-Hammett Rd ICP 1 - 0,336,555
ED-Gardner Newman ICP 1 - 0,413,265
ED-Griggs Center ICP 1 - 0,21,366
ED-Long Cane ICP 1 - 0,856,192
ED-East Vernon ICP 1 - 0,865,164
ED-Hollis Hand ICP 1 - 0,708,201
ED-Rosemont ICP 1 - 0,1073,154
ED-Highland ICP 1 - 0,155,176
ED-McLendon ICP 1 - 0,876,198
ED-Gray Hill ICP 1 - 0,510,150
ED-Administration Bldg ICP 1 - 0,155,375
ED-West Point ICP 1 - 0,214,362
ED-Hogansville ICP 1 - 0,870,389
ICC - Provisional - 1,8,7
