Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 1 - 0,1737,1249
ED-Darien ICP 1 - 0,218,115
ED-North Darien ICP 1 - 0,319,119
ICC - Absentee by Mail - 1,12,60
ICC - Absentee by Mail - 2,42,22
ICC - Absentee by Mail - 3,24,26
ICC - Absentee by Mail - 4,41,27
ED-Crescent ICP 1 - 0,167,235
ICC - Absentee by Mail - 5,19,37
ED-Spaelo Island ICP 1 - 0,5,19
ED-South Newport ICP 1 - 0,568,81
ICC - Absentee by Mail - 6,29,14
ICC - Absentee by Mail - 7,0,11
