Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail 1 - 1,26,24
ICC - Absentee By Mail 1 - 2,21,29
ICC - Absentee By Mail 1 - 3,32,18
ICC - Absentee By Mail 1 - 4,18,32
ICC - Absentee By Mail 1 - 5,11,38
ICC - Absentee By Mail 1 - 6,23,23
ICC - Absentee By Mail 1 - 7,18,31
ICC - Absentee By Mail 1 - 8,6,4
ICC - Absentee By Mail 1 - 9,0,50
ICC - Absentee By Mail 1 - 10,5,41
ICC - Absentee By Mail 1 - 11,4,43
ICC - Absentee By Mail 1 - 12,13,39
ICC - Absentee By Mail 1 - 13,4,45
ICC - Absentee By Mail 1 - 14,0,50
ICC - Absentee By Mail 1 - 15,2,48
ICC - Absentee By Mail 1 - 16,1,48
ICC - Absentee By Mail 1 - 17,1,46
ICC - Absentee By Mail 1 - 18,7,42
ICC - Absentee By Mail 1 - 19,4,30
ICC - Absentee By Mail 1 - 20,18,17
ICC - Absentee By Mail 1 - 21,11,38
ICC - Absentee By Mail 1 - 22,8,42
ICC - Absentee By Mail 1 - 23,15,35
ICC - Absentee By Mail 1 - 24,14,33
ICC - Absentee By Mail 1 - 25,6,43
ICC - Absentee By Mail 2 - 1,4,46
ICC - Absentee By Mail 1 - 26,10,27
ICC - Absentee By Mail 2 - 2,12,20
ICC - Absentee By Mail 2 - 3,2,47
ICC - Absentee By Mail 2 - 4,5,29
ICC - Absentee By Mail 2 - 5,1,47
ICC - Absentee By Mail 2 - 6,0,5
ICC - Absentee By Mail 2 - 7,18,19
ICC - Absentee By Mail 2 - 8,9,10
ICC - Absentee By Mail 1 - 27,23,23
ICC - Absentee By Mail 2 - 9,15,34
ICC - Absentee By Mail 1 - 28,15,16
ICC - Absentee By Mail 2 - 10,25,25
ICC - Absentee By Mail 1 - 29,11,17
ICC - Absentee By Mail 2 - 11,10,40
ICC - Absentee By Mail 2 - 12,9,38
ICC - Absentee By Mail 1 - 30,1,47
ICC - Absentee By Mail 1 - 31,25,24
ICC - Absentee By Mail 2 - 13,3,10
ICC - Absentee By Mail 1 - 32,13,37
ICC - Absentee By Mail 2 - 14,6,43
ICC - Absentee By Mail 1 - 33,16,27
ICC - Absentee By Mail 2 - 15,8,10
ICC - Absentee By Mail 1 - 34,21,29
ICC - Absentee By Mail 2 - 16,13,35
ICC - Absentee By Mail 1 - 35,25,25
ICC - Absentee By Mail 2 - 17,9,12
ICC - Absentee By Mail 2 - 18,15,35
ICC - Absentee By Mail 1 - 36,3,37
ICC - Absentee By Mail 2 - 19,10,13
ICC - Absentee By Mail 2 - 20,6,13
ICC - Absentee By Mail 2 - 21,1,47
ICC - Absentee By Mail 2 - 22,1,39
ICC - Absentee By Mail 2 - 23,7,43
ICC - Absentee By Mail 1 - 37,7,40
ICC - Absentee By Mail 2 - 24,4,5
ICC - Absentee By Mail 2 - 25,1,49
ICC - Absentee By Mail 1 - 38,22,28
ICC - Absentee By Mail 2 - 26,12,36
ICC - Absentee By Mail 1 - 39,5,6
ICC - Absentee By Mail 1 - 40,4,46
ICC - Absentee By Mail 1 - 41,6,43
ICC - Absentee By Mail 1 - 42,24,26
ICC - Absentee By Mail 1 - 43,7,9
ICC - Absentee By Mail 1 - 44,4,31
ICC - Absentee By Mail 1 - 45,11,23
ICC - Absentee By Mail 2 - 27,2,41
ICC - Absentee By Mail 1 - 46,10,40
ICC - Absentee By Mail 1 - 47,3,47
ICC - Absentee By Mail 2 - 28,7,43
ICC - Absentee By Mail 1 - 48,4,38
ICC - Absentee By Mail 2 - 29,7,21
ICC - Absentee By Mail 2 - 30,7,7
ICC - Absentee By Mail 2 - 31,8,31
ICC - Absentee By Mail 2 - 32,5,8
ICC - Absentee By Mail 2 - 33,25,27
ICC - Absentee By Mail 2 - 34,0,18
ICC - Absentee By Mail 2 - 35,5,16
ICC - Absentee By Mail 2 - 36,2,9
ICC - Absentee By Mail 2 - 37,0,17
ICC - Absentee By Mail 2 - 38,5,23
ICC - Absentee By Mail 2 - 39,13,21
ICC - Absentee By Mail 2 - 40,1,26
ICC - Absentee By Mail 2 - 41,2,3
Theron Ussery 2 - 0,1337,1406
Theron Ussery - 0,1479,1705
AV - Elections Office ICP 1 - 0,565,2967
AV - Elections Office ICP 3 - 0,403,2476
AV - Elections Office ICP 2 - 0,558,2974
ED - Godfrey 2 ICP 2 - 0,5,59
ED - Godfrey 2 ICP 1 - 0,24,265
ED - Warrior 2 ICP 2 - 0,496,204
ED - Warrior 2 ICP 1 - 0,408,132
ED - Rutland 2 ICP 2 - 0,463,206
ED - Rutland 2 ICP 1 - 0,473,195
ED - Godfrey 5 ICP 1 - 0,46,467
ED - Godfrey 5 ICP 2 - 0,55,466
ED - Vineville 4 ICP 2 - 0,51,403
ED - Vineville 4 ICP 1 - 0,52,400
