Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,27,73
Absentee By Mail ICC - 2,28,72
Absentee By Mail ICC - 3,36,64
Absentee By Mail ICC - 4,50,50
Absentee By Mail ICC - 5,28,71
Absentee By Mail ICC - 6,22,67
Absentee By Mail ICC - 7,27,73
Absentee By Mail ICC - 8,15,32
Absentee By Mail ICC - 9,38,62
Absentee By Mail ICC - 10,37,63
Absentee By Mail ICC - 11,43,57
Absentee By Mail ICC - 12,48,50
Absentee By Mail ICC - 13,7,13
AV-Elections Office ICP 1 - 0,2022,2048
AV-Elections Office ICP 2 - 0,3301,2795
AV-Elections Office ICP 3 - 0,1602,1934
AV-Elections Office ICP 4 - 0,1307,955
AV-Elections Office ICP 5 - 0,1001,813
ED-Rainwater ICP 5 - 0,492,145
ED-Rainwater ICP 6 - 0,314,112
ED-Pine Grove ICP 1 - 0,155,69
ED-Jaycee ICP 1 - 0,67,150
ED-Train Depot ICP 2 - 0,437,92
ED-Train Depot ICP 1 - 0,260,72
ED-Trinity ICP 1 - 0,175,93
ED-Trinity ICP 2 - 0,159,106
ED-Hahira Community Center ICP 1 - 0,305,45
ED-Nazarene ICP 1 - 0,608,294
ED-VSU ICP 1 - 0,3,22
ED-Dasher ICP 1 - 0,623,67
ED-Historical Society ICP 1 - 0,395,61
ED-Mildred ICP 1 - 0,11,294
ED-Lake Park ICP 1 - 0,803,156
ED-Papermill ICP 1 - 0,509,135
ED-Naylor ICP 1 - 0,317,107
ED-Rainwater ICP 2 - 0,167,77
ED-Rainwater ICP 1 - 0,217,117
ED-Rainwater ICP 3 - 0,600,328
ED-Mathis ICP 1 - 0,560,274
ED-Mathis ICP 2 - 0,337,136
ED-Mathis ICP 3 - 0,222,75
ED-South Lowndes ICP 1 - 0,537,72
ED-Lowndes Civic ICP 4 - 0,396,475
ED-Lowndes Civic ICP 1 - 0,72,73
ED-Mt. Calvary ICP 1 - 0,43,149
Absentee By Mail ICC - 14,2,1
Provisional ICC - 1,2,0
Provisional ICC - 2,12,20
Provisional ICC - 3,6,13
Absentee By Mail ICC - 15,2,3
Absentee By Mail ICC - 16,1,1
