Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC-Absentee by Mail - 1,5,13
ICC-Absentee by Mail - 2,4,20
ICC-Absentee by Mail - 3,23,12
ICC-Absentee by Mail - 4,5,7
ICC-Absentee by Mail - 5,1,3
ICC-Absentee by Mail - 6,9,3
ICC-Absentee by Mail - 7,3,4
ICC-Absentee by Mail - 8,6,8
ICC-Absentee by Mail - 9,6,7
ICC-Absentee by Mail - 10,20,20
ICC-Absentee by Mail - 11,10,19
ICC-Absentee by Mail - 12,3,14
ICC-Absentee by Mail - 13,18,19
ICC-Absentee by Mail - 14,10,21
ICC-Absentee by Mail - 15,2,40
ICC-Absentee by Mail - 16,17,12
ICC-Absentee by Mail - 17,5,5
AV-Elections Office ICP 1 - 0,2011,1057
ICC-Absentee by Mail - 18,2,1
ED-Senior Citizen Bldg ICP 1 - 0,177,90
ED-LCSC ICP 1 - 0,701,111
ED-Redbone ICP 1 - 0,258,33
ED-Chappell Mill V. FD ICP 1 - 0,515,68
ED-Barnesville ICP 1 - 0,181,236
ED-Milner ICP 1 - 0,914,184
ICC-Absentee by Mail - 19,2,0
ICC-Provisional - 1,2,1
