Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,25,25
Absentee By Mail ICC - 2,14,36
Absentee By Mail ICC - 3,21,29
Absentee By Mail ICC - 4,19,31
Absentee By Mail ICC - 5,26,24
Absentee By Mail ICC - 6,0,4
Absentee By Mail ICC - 7,18,32
Absentee By Mail ICC - 9,26,24
Absentee By Mail ICC - 8,27,23
Absentee By Mail ICC - 10,23,27
AV-Elections Office ICP 1 - 0,1997,1287
ED-Blowing Cave ICP 1 - 0,372,28
ED-Higdon ICP 1 - 0,363,107
ED-Midway ICP 1 - 0,391,68
ED-Pine Park ICP 1 - 0,203,65
ED-Cairo 5th District ICP 1 - 0,303,168
ED-Woodland ICP 1 - 0,482,43
ED-Cairo 4th District ICP 1 - 0,52,342
ED-Spence ICP 1 - 0,235,17
ED-Whigham ICP 1 - 0,468,66
Absentee By Mail ICC - 11,1,1
Provisional ICC - 1,1,2
